,genre,budget_norm,votes_norm,votes,budget,country,year,score_norm,score,rating,isprofit,profitability_ratio
0,1,-0.8753839077332527,-0.3365579220554412,36636,9000000,1,1986,0.7314119075660706,6.9,4,1,1.062734778
1,6,-1.001811187176,1.5625415184253513,146768,6000000,1,1986,1.7875122953329765,7.8,6,1,0.425204667
2,0,-0.5803869223668423,0.8398863468887493,104860,16000000,0,1986,1.083445370155039,7.2,6,0,-0.63125
3,4,-1.001811187176,-0.757445757954682,12228,6000000,1,1986,0.6140674200364137,6.8,5,1,0.366666667
4,0,-0.2011050840386004,0.7850164233460016,101678,25000000,1,1986,1.200789857684695,7.3,5,0,-0.556
5,5,-0.6225293488477581,-0.037135749712176,54000,15000000,1,1986,1.083445370155039,7.2,6,0,-0.4252714
6,0,-0.833241481252337,-0.5392593523649946,24881,10000000,1,1986,-1.028755405378773,5.4,6,0,-0.2566337
7,4,-0.2011050840386004,-0.0487408592484014,53327,25000000,1,1986,0.7314119075660706,6.9,5,1,0.5498954
8,0,-1.1408811945630222,-0.767671359670851,11635,2700000,1,1986,-0.4420329677304919,5.9,5,1,0.296296296
9,0,0.2203191807705572,-0.3471801322698764,36020,35000000,1,1986,-1.967511305616024,4.6,4,0,-0.534406457
10,4,-1.0565963416011903,-0.6018200320045572,21253,4700000,1,1986,-0.7940664303194614,5.6,7,1,0.70763234
11,0,-0.6225293488477581,-0.4000497694735421,32954,15000000,1,1986,0.6140674200364137,6.8,6,1,1.8482678
12,0,-0.2011050840386004,-0.2268698065131981,42997,25000000,1,1986,-0.4420329677304919,5.9,5,1,2.19271748
13,5,-1.1745951357477546,-0.7465131584807343,12862,1900000,1,1986,0.9661008826253824,7.1,6,1,1.421052632
14,4,-0.2011050840386004,0.0215967957267297,57406,25000000,1,1986,0.1446894699177893,6.4,4,1,0.56986936
15,6,-0.6731002606248571,0.1093507369300744,62495,13800000,1,1986,0.8487563950957264,7.0,6,1,2.789418986
16,4,-0.833241481252337,-0.2565119807966624,41278,10000000,1,1986,0.0273449823881324,6.3,4,1,2.7499651
17,1,-0.2011050840386004,-0.5703844975550195,23076,25000000,1,1986,0.379378444977101,6.6,4,0,-0.42788884
18,9,-1.0650248268973737,-0.6814348770695684,16636,4500000,1,1986,0.4967229325067578,6.7,6,0,-0.719777778
