,budget,popularity,budget_norm,popularity_norm,year,isprofit,profitability_ratio
0,9000000,5.526865,-0.8749745908451441,-0.6913542209899094,1986,1,1.062734778
1,6000000,7.882247,-0.9994785754242632,-0.0653122809615869,1986,1,0.425204667
2,16000000,16.870392,-0.5844652934938663,2.3236656992793536,1986,0,-0.63125
3,6000000,4.57535,-0.9994785754242632,-0.944259395847342,1986,1,0.366666667
4,25000000,11.109932,-0.2109533397565091,0.7925809096972178,1986,0,-0.556
5,15000000,0.338943,-0.625966621686906,-2.070262930318424,1986,0,-0.4252714
6,10000000,6.614078,-0.8334732626521044,-0.4023815890584381,1986,0,-0.2566337
7,25000000,7.409179,-0.2109533397565091,-0.1910500205237124,1986,1,0.5498954
8,2700000,7.657918,-1.136432958461294,-0.1249371581002479,1986,1,0.296296296
9,35000000,10.722672,0.2040599421738876,0.6896502590870964,1986,0,-0.534406457
10,4700000,9.501011,-1.0534303020752147,0.3649424102129265,1986,1,0.70763234
11,15000000,7.390012,-0.625966621686906,-0.1961444578016245,1986,1,1.8482678
12,25000000,8.236472,-0.2109533397565091,0.0288379274574857,1986,1,2.19271748
13,1900000,4.482439,-1.169634021015726,-0.9689544061216716,1986,1,1.421052632
14,25000000,6.377624,-0.2109533397565091,-0.4652291954710952,1986,1,0.56986936
15,13800000,11.613655,-0.6757682155185536,0.9264665062403205,1986,1,2.789418986
16,10000000,7.054864,-0.8334732626521044,-0.2852241502322416,1986,1,2.7499651
17,25000000,6.224859,-0.2109533397565091,-0.5058329264023949,1986,0,-0.42788884
18,10000000,2.663294,-0.8334732626521044,-1.4524687851025857,1986,0,-0.528878
19,4500000,7.522655,-1.061730567713823,-0.1608889956085801,1986,0,-0.719777778
20,18000000,7.471655,-0.5014626371077869,-0.174444392967244,1986,1,1.299046722
21,19000000,6.701138,-0.4599613089147472,-0.3792417283908836,1986,1,1.157719211
22,18000000,6.41742,-0.5014626371077869,-0.4546517328576562,1986,0,-0.461236722
23,14000000,11.183924,-0.6674679498799456,0.8122473991356931,1986,1,1.757142857
24,6000000,6.759181,-0.9994785754242632,-0.3638143572361988,1986,0,-0.025058833
25,5000000,5.460546,-1.0409799036173029,-0.7089812876061689,1986,0,-0.8817268
26,6500000,10.092348,-0.9787279113277432,0.5221151162497935,1986,0,-0.638923077
27,20000000,16.071191,-0.4184599807217076,2.111244383113833,1986,1,0.26571445
28,15000000,10.750748,-0.625966621686906,0.6971126382290935,1986,0,-0.8697512
29,12000000,7.224683,-0.750470606266025,-0.2400876007410468,1986,1,0.480741667
30,18000000,6.853782,-0.5014626371077869,-0.3386701583042976,1986,1,1.033978333
31,8700000,4.397712,-0.887424989303056,-0.9914741738080936,1986,0,-0.44069977
32,12000000,5.037671,-0.750470606266025,-0.8213781240384236,1986,1,0.3287945
33,1100000,8.843551,-1.2028350835701576,0.1901947328123939,1986,1,0.305454545
34,10000000,6.620556,-0.8334732626521044,-0.4006597878017828,1986,1,1.0603715
35,18000000,4.29831,-0.5014626371077869,-1.0178944406364447,1986,0,-0.783333333
36,25000000,1.278665,-0.2109533397565091,-1.820492241756104,1986,0,-0.9368296
37,10000000,2.86084,-0.8334732626521044,-1.3999626179140638,1986,1,1.1458229
38,12000000,5.655712,-0.750470606266025,-0.6571077056277178,1986,0,-0.35075575
39,2000000,8.180575,-1.1654838881964218,0.013980946160285,1986,1,2.6846865
40,18000000,9.328747,-0.5014626371077869,0.3191559990248308,1986,0,-0.927493667
41,8000000,3.150899,-0.9164759190381838,-1.3228672257090308,1986,1,0.47928775
42,3300000,4.119963,-1.1115321615454703,-1.0652976651996924,1986,1,0.497308182
43,15000000,4.079853,-0.625966621686906,-1.075958586534124,1986,0,-0.179431933
44,40000000,12.798828,0.411566583139086,1.241476132784629,1986,1,0.246289775
45,13000000,1.884204,-0.7089692780729854,-1.659544756243006,1986,0,-0.348041077
46,16000000,1.828322,-0.5844652934938663,-1.6743977506586307,1986,0,-0.7625
47,20000000,2.524937,-0.4184599807217076,-1.4892429833840104,1986,1,0.145275
48,6000000,2.722264,-0.9994785754242632,-1.436795024666499,1986,1,0.6579385
49,25000000,2.456811,-0.2109533397565091,-1.5073503363341345,1986,0,-0.83971
50,16000000,15.15267,-0.5844652934938663,1.8671087529711412,1987,1,0.928613375
51,30000000,13.94148,-0.0034466987913107,1.5451840132291783,1987,1,0.545255867
52,15000000,18.495694,-0.625966621686906,2.755658139236827,1987,1,2.982369867
53,27000000,9.389976,-0.1279506833704298,0.3354301838262748,1987,1,0.411929815
54,22700000,9.10373,-0.3064063946005004,0.2593482569178806,1987,1,0.679272379
55,25000000,11.062203,-0.2109533397565091,0.7798949183142438,1987,1,2.05081816
56,3600000,13.520764,-1.0990817630875584,1.4333610219517736,1987,1,0.64529
57,22000000,7.106954,-0.3354573243356282,-0.2713790394790495,1987,0,-0.211983182
58,12000000,7.075534,-0.750470606266025,-0.2797302274204067,1987,0,-0.685834167
59,30000000,12.189038,-0.0034466987913107,1.0793987650328716,1987,1,0.706196567
60,15000000,11.672701,-0.625966621686906,0.9421604668763924,1987,1,1.923206667
61,35000000,10.220906,0.2040599421738876,0.5562848176936191,1987,0,-0.364608686
62,22000000,13.031671,-0.3354573243356282,1.3033639639058718,1987,1,1.898477727
63,23000000,9.327986,-0.2939559961425885,0.318953731232871,1987,0,-0.097260304
64,25000000,8.431956,-0.2109533397565091,0.0807960313253495,1987,0,-0.3576968
65,6000000,14.011415,-0.9994785754242632,1.5637721840973775,1987,1,2.807927333
66,17000000,7.290872,-0.5429639653008266,-0.2224950870984466,1987,1,0.010919529
67,27000000,10.134408,-0.1279506833704298,0.5332943321891154,1987,0,-0.04097
68,23000000,11.076971,-0.2939559961425885,0.7838201361219448,1987,1,0.912357826
69,2600000,5.778465,-1.140583091280598,-0.6244809273538343,1987,1,0.204073846
70,20000000,8.627019,-0.4184599807217076,0.1326422367169783,1987,1,1.5624702
71,17000000,7.990679,-0.5429639653008266,-0.0364919114244369,1987,0,-0.077587059
72,3500000,9.330087,-1.1032318959068623,0.3195121604456273,1987,1,3.0
73,3000000,4.604439,-1.123982560003382,-0.9365277693029072,1987,1,1.629567667
74,12000000,11.394307,-0.750470606266025,0.8681655395770222,1987,1,2.337573667
