,rating,score,popularity,country,score_norm,runtime_norm,genre,votes,budget,popularity_norm,votes_norm,runtime,budget_norm,year,isprofit,profitability_ratio
0,3,6.9,5.526865,1,0.7653931642414871,-1.08077750395101,1,36636,9000000,-0.7067494804722937,-0.3637946082895273,90,-0.8954359848467809,1986,1,1.062734778
1,5,7.8,7.882247,1,1.842641108485853,1.057559496769172,6,146768,6000000,-0.0481838843368275,1.4534366123931617,120,-1.0241703993783278,1986,1,0.425204667
2,5,7.2,16.870392,0,1.1244758123229424,0.7724478966731476,0,104860,16000000,2.4649044682433527,0.7619343605828782,116,-0.5950556842731718,1986,0,-0.63125
3,4,6.8,4.57535,1,0.6456989482143346,-0.3679985037109493,4,12228,6000000,-0.97279339318235,-0.7665384033211536,100,-1.0241703993783278,1986,1,0.366666667
4,4,7.3,11.109932,1,1.2441700283500936,-0.4392764037349553,0,101678,25000000,0.8542779227766272,0.7094298228988961,99,-0.2088524406785316,1986,0,-0.556
5,5,7.2,0.338943,1,1.1244758123229424,1.057559496769172,5,54000,15000000,-2.157294209367352,-0.0772802172321215,120,-0.6379671557836875,1986,0,-0.4252714
6,5,5.4,6.614078,1,-1.0300200761657905,-0.5105543037589614,0,24881,10000000,-0.4027643615101767,-0.5577577888285624,98,-0.8525245133362653,1986,0,-0.2566337
7,4,6.9,7.409179,1,0.7653931642414871,-0.7956659038549856,4,53327,25000000,-0.1804538555910072,-0.0883850424556665,94,-0.2088524406785316,1986,1,0.5498954
8,4,5.9,7.657918,1,-0.4315489960300312,-0.8669438038789916,0,11635,2700000,-0.1109063478758513,-0.776323189885139,93,-1.1657782553630291,1986,1,0.296296296
9,3,4.6,10.722672,1,-1.9875738043830056,0.3447804965291113,0,36020,35000000,0.7459998970638462,-0.3739589059681361,110,0.2202622744266242,1986,0,-0.534406457
10,6,5.6,9.501011,1,-0.7906316441114876,-1.152055403975016,4,21253,4700000,0.4044230722683568,-0.6176215420395891,89,-1.0799553123419978,1986,1,0.70763234
11,5,6.8,7.390012,1,0.6456989482143346,1.7703384970092324,0,32954,15000000,-0.1858129552109962,-0.4245493875957568,130,-0.6379671557836875,1986,1,1.8482678
12,3,7.3,12.596956,1,1.2441700283500936,0.9862815967451658,1,66366,25000000,1.2700503312554834,0.1267647585692997,119,-0.2088524406785316,1986,1,3.38852528
13,4,5.9,8.236472,1,-0.4315489960300312,-0.7956659038549856,0,42997,25000000,0.050857544310876,-0.2588350343712966,94,-0.2088524406785316,1986,1,2.19271748
14,5,7.1,4.482439,1,1.0047815962957898,-0.4392764037349553,5,12862,1900000,-0.9987713399029,-0.756077096944144,99,-1.2001074325714416,1986,1,1.421052632
15,3,6.4,6.377624,1,0.1669220841057279,-0.082886903614925,4,57406,25000000,-0.4688769791104707,-0.0210795713013726,104,-0.2088524406785316,1986,1,0.56986936
16,5,7.0,11.613655,1,0.8850873802686384,0.9862815967451658,6,62495,13800000,0.9951190422987024,0.0628913879298607,119,-0.6894609215963061,1986,1,2.789418986
17,3,6.3,7.054864,1,0.0472278680785754,-1.009499603927004,4,41278,10000000,-0.2795204482688563,-0.287199365068583,91,-0.8525245133362653,1986,1,2.7499651
18,3,6.6,6.224859,1,0.4063105161600307,0.8437257966971538,1,23076,25000000,-0.5115901242791245,-0.5875411610848753,117,-0.2088524406785316,1986,0,-0.42788884
19,5,6.7,7.522655,1,0.5260047321871831,-1.365889104047034,9,16636,4500000,-0.1487259279822081,-0.6938042731794211,86,-1.088537606644101,1986,0,-0.719777778
20,4,6.3,7.471655,1,0.0472278680785754,-0.1541648036389311,4,28529,18000000,-0.1629855450646639,-0.4975640259526457,103,-0.5092327412521407,1986,1,1.299046722
21,4,5.7,6.701138,1,-0.6709374280843351,-1.009499603927004,9,20669,19000000,-0.3784223563494199,-0.627257824254374,91,-0.4663212697416251,1986,1,1.157719211
22,3,5.6,6.41742,1,-0.7906316441114876,0.1309467964570931,1,11484,18000000,-0.4577500041807961,-0.7788147628550577,107,-0.5092327412521407,1986,0,-0.461236722
23,0,7.2,11.183924,1,1.1244758123229424,-2.221223904335107,2,36539,14000000,0.8749661107602555,-0.3653951551642433,74,-0.680878627294203,1986,1,1.757142857
24,3,7.3,6.759181,1,1.2441700283500936,-1.5084449040950465,2,33609,6000000,-0.3621935141079106,-0.4137415710706127,84,-1.0241703993783278,1986,0,-0.025058833
25,5,6.8,5.460546,1,0.6456989482143346,-1.223333303999022,4,16077,5000000,-0.7252922950858501,-0.7030280433130937,88,-1.0670818708888432,1986,0,-0.8817268
26,5,7.0,10.092348,1,0.8850873802686384,0.4160583965531174,5,11607,6500000,0.5697610955367514,-0.7767852034159849,111,-1.00271466362307,1986,0,-0.638923077
27,5,5.3,10.750748,1,-1.1497142921929429,-0.5105543037589614,1,5340,15000000,0.7538499560679056,-0.880193731909233,98,-0.6379671557836875,1986,0,-0.8697512
28,5,5.6,7.224683,1,-0.7906316441114876,1.4139489968892025,0,15819,12000000,-0.2320389989879633,-0.7072851679901733,125,-0.7667015703152341,1986,1,0.480741667
29,4,6.2,6.853782,1,-0.0724663479485759,0.4873362965771234,4,9965,18000000,-0.335743042821295,-0.8038789969034451,112,-0.5092327412521407,1986,1,1.033978333
30,5,6.3,4.397712,1,0.0472278680785754,0.2735025965051053,0,2297,8700000,-1.022461037482218,-0.9304047024222304,109,-0.9083094262999356,1986,0,-0.44069977
31,4,5.6,5.037671,1,-0.7906316441114876,-1.223333303999022,0,9040,12000000,-0.8435282867278792,-0.8191419439046027,88,-0.7667015703152341,1986,1,0.3287945
32,5,7.8,8.843551,1,1.842641108485853,0.1309467964570931,4,39456,1100000,0.2205970360520556,-0.3172632455400523,107,-1.234436609779854,1986,1,0.305454545
33,5,6.7,6.620556,1,0.5260047321871831,0.2735025965051053,0,14502,10000000,-0.40095311054037,-0.7290163044231728,109,-0.8525245133362653,1986,1,1.0603715
34,4,6.1,4.29831,1,-0.1921605639757284,0.8437257966971538,12,4666,18000000,-1.0502538699769293,-0.8913150576160225,117,-0.5092327412521407,1986,0,-0.783333333
35,4,4.8,1.278665,1,-1.748185372328702,-0.7956659038549856,0,3397,25000000,-1.8945476234073624,-0.9122541708532862,94,-0.2088524406785316,1986,0,-0.9368296
36,3,6.2,2.86084,1,-0.0724663479485759,-0.082886903614925,4,5584,10000000,-1.4521709634576678,-0.8761676139975764,104,-0.8525245133362653,1986,1,1.1458229
37,4,5.9,5.655712,1,-0.4315489960300312,-0.082886903614925,4,5523,12000000,-0.6707238161149763,-0.8771741434754905,104,-0.7667015703152341,1986,0,-0.35075575
38,5,5.7,8.180575,0,-0.6709374280843351,-0.5105543037589614,9,4744,2000000,0.0352287243881696,-0.8900280199229519,98,-1.19581628542039,1986,1,2.6846865
39,5,5.7,9.328747,1,-0.6709374280843351,0.7011699966491416,0,3607,18000000,0.3562580001685105,-0.9087890693719424,115,-0.5092327412521407,1986,0,-0.927493667
40,3,5.0,3.150899,1,-1.508796940274398,-0.082886903614925,0,4752,8000000,-1.371070369902373,-0.889896016056996,104,-0.9383474563572964,1986,1,0.47928775
41,5,5.9,4.119963,1,-0.4315489960300312,-0.8669438038789916,4,3909,3300000,-1.100119750914277,-0.903805923432105,93,-1.1400313724567197,1986,1,0.497308182
42,4,4.9,4.079853,1,-1.6284911563015494,-0.6531101038069735,4,5049,15000000,-1.111334520349126,-0.884995372533381,96,-0.6379671557836875,1986,0,-0.179431933
43,3,5.9,12.798828,1,-0.4315489960300312,0.7724478966731476,4,8374,40000000,1.3264938100725323,-0.8301312657454362,116,0.4348196319792021,1986,1,0.246289775
44,5,5.6,1.884204,1,-0.7906316441114876,-0.3679985037109493,4,4573,13000000,-1.7252387161820055,-0.8928496025577605,100,-0.7237900988047186,1986,0,-0.348041077
45,5,5.7,1.828322,1,-0.6709374280843351,0.4160583965531174,6,2287,16000000,-1.7408633420996882,-0.9305697072546754,111,-0.5950556842731718,1986,0,-0.7625
46,4,6.4,2.524937,1,0.1669220841057279,-0.0116090035909189,4,3079,20000000,-1.5460895547684157,-0.9175013245250356,105,-0.4234097982311095,1986,1,0.145275
47,5,5.9,2.722264,1,-0.4315489960300312,-0.3679985037109493,0,3561,6000000,-1.4909168594737146,-0.9095480916011892,100,-1.0241703993783278,1986,1,0.6579385
48,5,5.5,2.456811,1,-0.9103258601386388,1.5565047969372143,1,1340,25000000,-1.5651376071872267,-0.946195664887212,127,-0.2088524406785316,1986,0,-0.83971
49,5,6.3,0.109362,1,0.0472278680785754,-0.5818322037829674,3,1288,14000000,-2.2214851338655337,-0.9470536900159257,97,-0.680878627294203,1986,1,0.288153571
50,5,6.6,9.389976,1,0.4063105161600307,-0.2967206036869432,0,120345,27000000,0.3733776490771712,1.0174443436238785,101,-0.1230294976575004,1987,1,0.411929815
51,3,7.1,9.10373,1,1.0047815962957898,-0.6531101038069735,1,146748,22700000,0.2933431715990412,1.4531066027282715,96,-0.3075488251527174,1987,1,0.679272379
52,5,7.6,13.183804,1,1.603252676431549,0.3447804965291113,0,204328,15000000,1.434133228620287,2.403204427946276,110,-0.6379671557836875,1987,1,3.3471418
53,5,7.9,11.062203,1,1.9623353245130053,0.9862815967451658,5,234254,25000000,0.8409328783897931,2.896997889521024,119,-0.2088524406785316,1987,1,2.05081816
54,5,7.8,13.520764,1,1.842641108485853,-1.5084449040950465,4,123325,3600000,1.528347357485077,1.0666157836924726,84,-1.127157931003565,1987,1,0.64529
55,3,5.4,7.106954,1,-1.0300200761657905,0.059668896433087,0,30370,22000000,-0.264956066821305,-0.467186636299531,106,-0.3375868552100783,1987,0,-0.211983182
56,4,7.2,7.075534,1,1.1244758123229424,-1.6510007041430583,0,21420,12000000,-0.2737411093454375,-0.6148659613377585,82,-0.7667015703152341,1987,0,-0.685834167
57,3,6.7,12.189038,0,0.5260047321871831,1.7703384970092324,0,74272,30000000,1.1559963218233034,0.2572175791002747,130,0.0057049168740463,1987,1,0.706196567
58,5,7.4,11.672701,1,1.3638642443772462,1.4852268969132083,5,126195,15000000,1.011628323676167,1.1139721706041723,126,-0.6379671557836875,1987,1,1.923206667
59,5,6.5,13.031671,1,0.2866163001328793,0.9150036967211598,4,51642,22000000,1.391596790863321,-0.11618835672264,118,-0.3375868552100783,1987,1,1.898477727
60,3,5.7,8.431956,1,-0.6709374280843351,-0.8669438038789916,0,40916,25000000,0.1055149361882639,-0.29317254000309,93,-0.2088524406785316,1987,0,-0.3576968
61,4,7.4,14.011415,1,1.3638642443772462,-0.7956659038549856,4,107669,6000000,1.6655335414286845,0.8082842180166638,94,-1.0241703993783278,1987,1,2.807927333
62,5,7.3,7.290872,0,1.2441700283500936,0.5586141966011295,9,67453,17000000,-0.2135325324179501,0.1447007838560654,113,-0.5521442127626562,1987,1,0.010919529
63,3,6.8,10.134408,1,0.6456989482143346,1.057559496769172,0,45172,27000000,0.5815210856247535,-0.2229464833145207,120,-0.1230294976575004,1987,0,-0.04097
64,5,7.2,8.627019,1,1.1244758123229424,1.9841721970812507,4,22802,20000000,0.1600546163246381,-0.5920622934938669,133,-0.4234097982311095,1987,1,1.5624702
65,5,6.0,9.330087,1,-0.3118547800028798,-0.9382217039029978,4,17500,3500000,0.3566326646173439,-0.6795478556561777,92,-1.1314490781546167,1987,1,3.0
66,4,5.9,7.907938,1,-0.4315489960300312,0.059668896433087,4,27387,20000000,-0.0410006721316241,-0.5164075778178587,106,-0.4234097982311095,1987,1,1.8693758
67,4,6.2,6.573364,1,-0.0724663479485759,-1.223333303999022,4,28550,14000000,-0.4141480095473357,-0.4972175158045113,88,-0.680878627294203,1987,1,3.136855143
68,5,7.3,15.170192,1,1.2441700283500936,-0.3679985037109493,4,15647,3000000,1.9895279787611715,-0.7101232511082263,100,-1.1529048139098743,1987,1,0.073856
69,4,7.2,3.552005,1,1.1244758123229424,-0.5818322037829674,4,8970,6000000,-1.2589209979518732,-0.8202969777317174,97,-1.0241703993783278,1987,0,-0.385689667
70,4,5.2,3.799983,1,-1.2694085082200943,-1.7222786041670644,4,5348,15000000,-1.189586266091614,-0.8800617280432771,81,-0.6379671557836875,1987,0,-0.113975467
