budget,company,country,director,genre,gross,name,rating,released,star,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket
10000000,De Laurentiis Entertainment Group (DEG),USA,John Guillermin,Action,4711220,King Kong Lives,PG-13,19.12.1986 00:00,Brian Kerwin,Ronald Shusett,1986,0,-0.528878,-50
4500000,Empire Pictures,USA,Stuart Gordon,Horror,1261000,From Beyond,R,24.10.1986 00:00,Jeffrey Combs,H.P. Lovecraft,1986,0,-0.719777778,-70
18000000,TriStar Pictures,USA,Francis Ford Coppola,Comedy,41382841,Peggy Sue Got Married,PG-13,10.10.1986 00:00,Kathleen Turner,Jerry Leichtling,1986,1,1.299046722,130
19000000,Freddie Fields Productions,USA,Brian Gibson,Horror,40996665,Poltergeist II: The Other Side,PG-13,23.05.1986 00:00,JoBeth Williams,Mark Victor,1986,1,1.157719211,120
1100000,Empire Pictures,USA,John Carl Buechler,Comedy,5450815,Troll,PG-13,17.01.1986 00:00,Michael Moriarty,Ed Naha,1986,1,3.955286364,400
111000,Maljack Productions,USA,John McNaughton,Biography,609939,Henry: Portrait of a Serial Killer,UNRATED,7.09.1990 00:00,Michael Rooker,Richard Fire,1986,1,4.494945946,450
18000000,ABC Motion Pictures,USA,Harry Winer,Adventure,9697739,SpaceCamp,PG,6.06.1986 00:00,Kate Capshaw,Clifford Green,1986,0,-0.461236722,-50
6400000,Orion Pictures,USA,Woody Allen,Comedy,40084041,Hannah and Her Sisters,PG-13,14.03.1986 00:00,Mia Farrow,Woody Allen,1986,1,5.263131406,530
14000000,Walt Disney Pictures,USA,Ron Clements,Animation,38600000,The Great Mouse Detective,G,2.07.1986 00:00,Vincent Price,Peter Young,1986,1,1.757142857,180
8500000,De Laurentiis Entertainment Group (DEG),USA,John Irvin,Action,16209459,Raw Deal,R,6.06.1986 00:00,Arnold Schwarzenegger,Luciano Vincenzoni,1986,1,0.906995176,90
6000000,Sunbow Productions,USA,Nelson Shin,Animation,5849647,The Transformers: The Movie,PG,8.08.1986 00:00,Orson Welles,Ron Friedman,1986,0,-0.025058833,0
5000000,TriStar Pictures,USA,Fred Dekker,Comedy,591366,Night of the Creeps,R,22.08.1986 00:00,Jason Lively,Fred Dekker,1986,0,-0.8817268,-90
12000000,Cannon Pictures,USA,Tobe Hooper,Horror,4884663,Invaders from Mars,PG,6.06.1986 00:00,Karen Black,Richard Blake,1986,0,-0.59294475,-60
6000000,De Haven Productions,UK,David Anspaugh,Drama,28607524,Hoosiers,PG,27.02.1987 00:00,Gene Hackman,Angelo Pizzo,1986,1,3.767920667,380
6500000,Cinema '85,USA,James Foley,Crime,2347000,At Close Range,R,18.04.1986 00:00,Sean Penn,Elliott Lewitt,1986,0,-0.638923077,-60
20000000,Paramount Pictures,USA,Mike Nichols,Comedy,25314289,Heartburn,R,25.07.1986 00:00,Meryl Streep,Nora Ephron,1986,1,0.26571445,30
15000000,Warner Bros.,USA,Michael Chapman,Adventure,1953732,The Clan of the Cave Bear,R,17.01.1986 00:00,Daryl Hannah,Jean M. Auel,1986,0,-0.8697512,-90
12000000,Golan-Globus Productions,USA,Menahem Golan,Action,17768900,The Delta Force,R,14.02.1986 00:00,Chuck Norris,James Bruner,1986,1,0.480741667,50
18000000,Paramount Pictures,USA,Ron Howard,Comedy,36611610,Gung Ho,PG-13,14.03.1986 00:00,Michael Keaton,Edwin Blum,1986,1,1.033978333,100
175000,40 Acres & A Mule Filmworks,USA,Spike Lee,Comedy,7137502,She's Gotta Have It,R,8.08.1986 00:00,Tracy Camilla Johns,Spike Lee,1986,1,39.78572571,3979
8700000,Delphi V Productions,USA,Paul Michael Glaser,Action,4865912,Band of the Hand,R,11.04.1986 00:00,Stephen Lang,Leo Garen,1986,0,-0.44069977,-40
12000000,Columbia Pictures Corporation,USA,Mark L. Lester,Action,15945534,Armed and Dangerous,PG-13,15.08.1986 00:00,John Candy,Brian Grazer,1986,1,0.3287945,30
1100000,Black Snake,USA,Jim Jarmusch,Comedy,1436000,Down by Law,R,30.10.1986 00:00,Tom Waits,Jim Jarmusch,1986,1,0.305454545,30
10000000,Orion Pictures,USA,Robert Mandel,Action,20603715,F/X,R,7.02.1986 00:00,Bryan Brown,Robert T. Megginson,1986,1,1.0603715,110
18000000,Gladden Entertainment,USA,Marshall Brickman,Sci-Fi,3900000,The Manhattan Project,PG-13,13.06.1986 00:00,John Lithgow,Marshall Brickman,1986,0,-0.783333333,-80
5000000,Paramount Pictures,USA,Fred Walton,Horror,12947763,April Fool's Day,R,28.03.1986 00:00,Deborah Foreman,Danilo Bach,1986,1,1.5895526,160
25000000,Brooksfilms,USA,Alan Johnson,Action,1579260,Solarbabies,PG-13,26.11.1986 00:00,Richard Jordan,Walon Green,1986,0,-0.9368296,-90
40000000,Carthago Films S.a.r.l.,France,Roman Polanski,Adventure,1641825,Piratas,PG-13,18.07.1986 00:00,Walter Matthau,John Brownjohn,1986,0,-0.958954375,-100
10000000,Touchstone Pictures,USA,Jeff Kanew,Comedy,21458229,Tough Guys,PG,3.10.1986 00:00,Burt Lancaster,James Orr,1986,1,1.1458229,110
12000000,Cinema Group Ventures,USA,Roger Spottiswoode,Comedy,7790931,The Best of Times,PG-13,31.01.1986 00:00,Robin Williams,Ron Shelton,1986,0,-0.35075575,-40
2000000,Paragon Arts International,UK,Kevin Tenney,Horror,7369373,Witchboard,R,13.03.1987 00:00,Todd Allen,Kevin Tenney,1986,1,2.6846865,270
14000000,Touchstone Pictures,USA,Paul Mazursky,Comedy,62134225,Down and Out in Beverly Hills,R,31.01.1986 00:00,Nick Nolte,René Fauchois,1986,1,3.438158929,340
8500000,Capital Equipment Leasing,UK,Trevor Nunn,Biography,277646,Lady Jane,PG-13,7.02.1986 00:00,Helena Bonham Carter,Chris Bryant,1986,0,-0.967335765,-100
18000000,Producers Sales Organization (PSO),USA,Hal Ashby,Action,1305114,8 Million Ways to Die,R,25.04.1986 00:00,Jeff Bridges,Lawrence Block,1986,0,-0.927493667,-90
8000000,Cannon Group,USA,J. Lee Thompson,Action,11834302,Firewalker,PG,21.11.1986 00:00,Chuck Norris,Robert Gosnell,1986,1,0.47928775,50
3300000,Amaretto Films,USA,Richard Wenk,Comedy,4941117,Vamp,R,18.07.1986 00:00,Chris Makepeace,Donald P. Borchers,1986,1,0.497308182,50
15000000,Warner Bros.,USA,Harold Ramis,Comedy,12308521,Club Paradise,PG-13,11.07.1986 00:00,Robin Williams,Harry Shearer,1986,0,-0.179431933,-20
40000000,Universal Pictures,USA,Ivan Reitman,Comedy,49851591,Legal Eagles,PG,20.06.1986 00:00,Robert Redford,Ivan Reitman,1986,1,0.246289775,20
