,rating,year,budget,country,budget_norm,isprofit,profitability_ratio
33,6,1986,1100000,1,-1.2544282267362372,1,0.305454545
34,6,1986,10000000,1,-0.8818167698544563,1,1.0603715
35,5,1986,18000000,1,-0.5468851232191475,0,-0.783333333
36,5,1986,25000000,1,-0.2538199324132523,0,-0.9368296
37,4,1986,10000000,1,-0.8818167698544563,1,1.1458229
38,5,1986,12000000,1,-0.7980838581956291,0,-0.35075575
39,6,1986,2000000,0,-1.216748416489765,1,2.6846865
40,6,1986,14000000,1,-0.7143509465368019,1,3.438158929
41,6,1986,18000000,1,-0.5468851232191475,0,-0.927493667
42,4,1986,8000000,1,-0.9655496815132836,1,0.47928775
43,6,1986,3300000,1,-1.1623220239115275,1,0.497308182
44,5,1986,15000000,1,-0.6724844907073882,0,-0.179431933
45,4,1986,40000000,1,0.3741769050279517,1,0.246289775
46,6,1986,13000000,1,-0.7562174023662155,0,-0.348041077
47,6,1986,16000000,1,-0.6306180348779747,0,-0.7625
48,5,1986,20000000,1,-0.4631522115603202,1,0.145275
49,6,1986,6000000,1,-1.0492825931721106,1,0.6579385
50,6,1986,25000000,1,-0.2538199324132523,0,-0.83971
51,4,1987,16000000,1,-0.6306180348779747,1,0.928613375
52,6,1987,30000000,0,-0.0444876532661842,1,0.545255867
53,6,1987,15000000,1,-0.6724844907073882,1,2.982369867
54,6,1987,27000000,1,-0.170087020754425,1,0.411929815
55,4,1987,22700000,1,-0.3501127808209036,1,0.679272379
56,6,1987,15000000,1,-0.6724844907073882,1,3.3471418
57,6,1987,25000000,1,-0.2538199324132523,1,2.05081816
58,6,1987,3600000,1,-1.1497620871627032,1,0.64529
59,4,1987,22000000,1,-0.3794192999014931,0,-0.211983182
60,5,1987,12000000,1,-0.7980838581956291,0,-0.685834167
61,4,1987,30000000,0,-0.0444876532661842,1,0.706196567
62,6,1987,15000000,1,-0.6724844907073882,1,1.923206667
63,4,1987,35000000,1,0.1648446258808837,0,-0.364608686
64,6,1987,22000000,1,-0.3794192999014931,1,1.898477727
65,5,1987,23000000,1,-0.3375528440720794,0,-0.097260304
66,4,1987,25000000,1,-0.2538199324132523,0,-0.3576968
67,5,1987,6000000,1,-1.0492825931721106,1,2.807927333
68,6,1987,17000000,0,-0.5887515790485611,1,0.010919529
69,4,1987,27000000,1,-0.170087020754425,0,-0.04097
70,5,1987,23000000,0,-0.3375528440720794,1,0.912357826
71,6,1987,20000000,1,-0.4631522115603202,1,1.5624702
72,4,1987,17000000,0,-0.5887515790485611,0,-0.077587059
73,6,1987,3500000,1,-1.1539487327456446,1,3.0
74,4,1987,3000000,1,-1.1748819606603516,1,1.629567667
75,5,1987,20000000,1,-0.4631522115603202,1,1.8693758
76,4,1987,1000000,1,-1.2586148723191788,1,0.576615
77,5,1987,14000000,1,-0.7143509465368019,1,3.136855143
78,6,1987,3000000,1,-1.1748819606603516,1,0.073856
79,5,1987,6000000,1,-1.0492825931721106,0,-0.385689667
80,5,1987,15000000,1,-0.6724844907073882,0,-0.113975467
81,6,1987,17000000,1,-0.5887515790485611,0,-0.395379471
82,6,1987,4000000,1,-1.1330155048309378,0,-0.8
83,6,1987,22000000,1,-0.3794192999014931,0,-0.486007091
84,5,1987,4000000,1,-1.1330155048309378,0,-0.5799105
85,6,1987,9000000,1,-0.9236832256838698,0,-0.399235667
86,6,1987,10000000,1,-0.8818167698544563,0,-0.6939142
87,6,1987,6000000,0,-1.0492825931721106,0,-0.761218833
88,6,1987,3520000,1,-1.1531114036290564,0,-0.840287784
89,6,1987,25000000,1,-0.2538199324132523,1,0.23800008
90,6,1987,11000000,1,-0.8399503140250427,1,1.310126
91,4,1987,3000000,1,-1.1748819606603516,1,2.289507
92,6,1987,1000000,0,-1.2586148723191788,0,-0.7898
93,4,1987,12000000,1,-0.7980838581956291,0,-0.527514083
94,6,1987,1100000,1,-1.2544282267362372,1,0.23248
