,rating,country,votes_norm,popularity_norm,score,votes,budget_norm,company,score_norm,genre,year,writer,popularity,budget,isprofit,profitability_ratio
22,4,1,0.2128843824197212,-0.5537701532334404,6.4,107464,-0.4893175680331609,4,-0.04603434817159,4,2010,426,8.101247,20000000,1,0.5792361
23,4,0,0.0971147890088992,-0.4277537794751543,8.2,97935,-0.9051364973838149,10,2.3877606666803795,6,2010,112,8.596012,6800000,1,0.008396471
24,4,1,2.547496262890953,0.7146219048058716,7.6,299626,0.0462068106760143,19,1.576495661729723,5,2010,376,13.081203,37000000,1,1.491520595
25,2,0,0.7570585726247927,-0.1246912328992426,5.9,152255,1.8732899850955536,5,-0.7220885189638041,1,2010,82,9.785895,95000000,0,-0.065666105
26,4,1,0.7867754815851108,-0.6876277042830119,6.7,154701,-0.174303227615999,5,0.3595981543037382,4,2010,65,7.575696,30000000,1,0.078900167
27,3,1,1.9999081514193853,0.5908282931544209,7.1,254554,0.7077369255520545,13,0.9004414909375088,0,2010,233,12.595165,58000000,1,0.558278655
28,4,1,1.9012446118990487,1.050144368185217,6.9,246433,1.4007684744698108,10,0.6300198226206241,0,2010,141,14.39853,80000000,1,0.185438238
29,3,1,1.610538889248808,1.6485003639903228,6.8,222505,2.3458114957212968,16,0.4948089884621806,0,2010,208,16.747793,110000000,0,-0.297980918
30,3,1,0.8246080467946081,0.6325422051025393,6.3,157815,2.5663215340133103,16,-0.1812451823300335,0,2010,364,12.758942,117000000,0,-0.346811667
31,4,1,0.7869334210031337,0.2120262803030973,7.4,154714,-1.0090912297214782,10,1.3060739934128385,6,2010,113,11.107914,3500000,1,1.782254857
32,3,1,0.3825842124923795,-0.5011818482348636,7.2,121432,-0.6153233042000257,13,1.0356523250959524,6,2010,484,8.307719,16000000,1,0.191765
33,4,1,2.4912455317027797,0.9847648020697164,7.8,294996,-0.33181039782458,10,1.8469173300466089,3,2010,424,14.141837,25000000,1,2.74468036
34,4,0,0.3504131679597049,-0.5085490298482731,7.2,118784,-0.6468247382417419,10,1.0356523250959524,6,2010,265,8.278794,15000000,0,-0.837689867
35,3,1,1.2691346134132002,3.490858143729928,6.0,194404,1.4007684744698108,1,-0.5868776848053618,4,2010,9,23.981251,80000000,1,1.025014825
36,3,1,2.064019405950701,-0.4001334069357269,6.4,259831,2.3458114957212968,1,-0.04603434817159,0,2010,274,8.704455,110000000,1,0.075557891
37,4,1,2.4114618272291866,1.1410949950592817,6.5,288429,1.4007684744698108,10,0.0891764859868523,0,2010,97,14.75562,80000000,1,0.28835655
38,3,1,0.5529886953531402,-0.4665383930400121,6.3,135458,0.6132326234269059,16,-0.1812451823300335,4,2010,251,8.443736,55000000,1,0.7947528
39,3,1,-0.294647862804026,-0.254423926343657,6.4,65689,0.6132326234269059,12,-0.04603434817159,6,2010,449,9.276539,55000000,0,-0.282897182
40,4,1,2.546001913012736,0.2295707425702185,7.6,299503,-0.5523204361165933,10,1.576495661729723,1,2010,94,11.176797,18000000,1,0.018623889
41,4,1,1.1289208577668264,-0.3159618606432528,6.4,182863,0.1407111128011629,16,-0.04603434817159,0,2010,17,9.034929,40000000,1,0.3000172
42,3,1,0.7947574967882706,-0.174222635089725,7.4,155358,-0.016796057407418,10,1.3060739934128385,5,2010,367,9.591425,35000000,0,-0.395752829
43,3,1,1.3862527664702182,0.5759171685087708,6.7,204044,2.030797155304134,1,0.3595981543037382,0,2010,8,12.536621,100000000,1,0.19219978
44,4,1,0.3461488036730852,-0.7630915857526945,7.2,118433,-1.0563433807840523,10,1.0356523250959524,6,2010,111,7.27941,2000000,1,2.2657515
45,4,1,-0.1634366539849603,-0.5255278046352422,5.5,76489,-0.3633118318662962,3,-1.262931855597576,4,2010,371,8.212132,24000000,1,0.041798125
46,4,1,0.6767889007111291,0.4310010767058371,6.4,145648,0.0147053766342981,7,-0.04603434817159,4,2010,250,11.967652,36000000,1,0.396876556
47,4,0,-0.2521378609838491,0.6963362671370216,6.4,69188,-0.7413290403668905,10,-0.04603434817159,0,2010,341,13.00941,12000000,0,-0.989809333
48,0,1,-0.9128105957598484,-0.7151619884080804,6.7,14808,-0.6468247382417419,5,0.3595981543037382,1,2010,278,7.467591,15000000,1,0.744093733
49,3,1,0.1291278941235509,-0.7153835769302469,5.7,100570,0.5187283213017573,9,-0.99251018728069,4,2010,262,7.466721,52000000,1,1.124724115
50,3,1,-0.4746623517921831,-1.0193902943701485,6.5,50872,0.2667168489680277,17,0.0891764859868523,6,2010,80,6.273131,44000000,0,-0.291760341
51,4,0,0.1120704369770723,0.2149670401616429,7.2,99166,-0.4893175680331609,10,1.0356523250959524,6,2010,304,11.11946,20000000,0,-0.393279
52,2,1,1.194174135782308,0.3383549155880229,7.3,188234,2.9758401765556206,10,1.1708631592543948,2,2010,13,11.603905,130000000,1,0.141660408
53,2,1,-0.2745166615991009,0.0010768088945468,7.7,67346,-0.6783261722834582,0,1.7117064958881665,4,2010,400,10.279685,14000000,0,-0.874841857
54,3,1,1.2201976921980895,0.6544725919118526,6.0,190376,2.030797155304134,10,-0.5868776848053618,0,2010,135,12.845045,100000000,0,-0.32368843
