,budget_norm,year,budget,genre,popularity_norm,votes_norm,country,popularity,votes,isprofit,profitability_ratio
0,-0.8875683168559811,1986,9000000,1,-0.6883108825035047,-0.3530763174931307,1,5.526865,36636,1,1.062734778
1,-1.015991571541705,1986,6000000,6,-0.0292876855346561,1.474406632062522,1,7.882247,146768,1,0.425204667
2,-0.5879140559226258,1986,16000000,0,2.485546873241615,0.7790033391959774,0,16.870392,104860,0,-0.63125
3,-1.015991571541705,1986,6000000,4,-0.9545396544240736,-0.7580921515173414,1,4.57535,12228,1,0.366666667
4,-0.2026442918654545,1986,25000000,0,0.8738011924088785,0.7262026023939028,1,11.109932,101678,0,-0.556
5,-0.6307218074845337,1986,15000000,5,-2.13986351475807,-0.0649455840452286,1,0.338943,54000,0,-0.4252714
6,-0.8447605652940733,1986,10000000,0,-0.384114541083687,-0.5481337219897957,1,6.614078,24881,0,-0.2566337
7,-0.2026442918654545,1986,25000000,4,-0.1616495638812084,-0.0761130560338509,1,7.409179,53327,1,0.5498954
8,-1.157257151696001,1986,2700000,0,-0.0920537314468797,-0.7679321379798274,1,7.657918,11635,1,0.296296296
9,0.2254332237536246,1986,35000000,0,0.7654479302806305,-0.3632979560443809,1,10.722672,36020,0,-0.534406457
10,-1.0716416485721851,1986,4700000,4,0.4236337626287761,-0.6083351906000807,1,9.501011,21253,1,0.70763234
11,-0.6307218074845337,1986,15000000,0,-0.1670123872433222,-0.4141738388335578,1,7.390012,32954,1,1.8482678
12,-0.2026442918654545,1986,25000000,1,1.2898624981543605,0.1402504911573029,1,12.596956,66366,1,3.38852528
13,-0.2026442918654545,1986,25000000,0,0.0698225615277269,-0.2475246245962115,1,8.236472,42997,1,2.19271748
14,-1.1915033529455272,1986,1900000,5,-0.9805356517839808,-0.7475718287227107,1,4.482439,12862,1,1.421052632
15,-0.2026442918654545,1986,25000000,4,-0.4502730966878617,-0.008427887769972,1,6.377624,57406,1,0.56986936
16,-0.6820911093588232,1986,13800000,6,1.0147401746405245,0.0760167852613786,1,11.613655,62495,1,2.789418986
17,-0.8447605652940733,1986,10000000,4,-0.2607849924588308,-0.276048969839067,1,7.054864,41278,1,2.7499651
18,-0.2026442918654545,1986,25000000,1,-0.4930159208603084,-0.5780851141732478,1,6.224859,23076,0,-0.42788884
19,-0.8447605652940733,1986,10000000,0,-1.489522624449093,-0.88797001668071,1,2.663294,4401,0,-0.528878
20,-1.0802031988845668,1986,4500000,9,-0.1298995902891383,-0.6849476990272267,1,7.522655,16636,0,-0.719777778
21,-0.50229855279881,1986,18000000,4,-0.1441691155913659,-0.4876003819979765,1,7.471655,28529,1,1.299046722
22,-0.459490801236902,1986,19000000,9,-0.3597556220089433,-0.6180258349408763,1,6.701138,20669,1,1.157719211
23,-0.50229855279881,1986,18000000,1,-0.439138390238304,-0.7704377669104099,1,6.41742,11484,0,-0.461236722
24,-0.6735295590464416,1986,14000000,2,0.8945037554708863,-0.3546858936935711,1,11.183924,36539,1,1.757142857
25,-1.015991571541705,1986,6000000,2,-0.3435155032419396,-0.4033050510883161,1,6.759181,33609,0,-0.025058833
26,-1.0587993231036128,1986,5000000,4,-0.706866581494062,-0.6942235041411047,1,5.460546,16077,0,-0.8817268
27,-0.9945876957607508,1986,6500000,5,0.589086670151194,-0.7683967579139751,1,10.092348,11607,0,-0.638923077
28,-0.6307218074845337,1986,15000000,1,0.7733034438568137,-0.8723886553176841,1,10.750748,5340,0,-0.8697512
29,-0.7591450621702575,1986,12000000,0,-0.2132705509431648,-0.6985046449628945,1,7.224683,15819,1,0.480741667
30,-0.50229855279881,1986,18000000,4,-0.3170466529847626,-0.7956433983379244,1,6.853782,9965,1,1.033978333
31,-0.9004106423245535,1986,8700000,0,-1.004241810024801,-0.9228828860180968,1,4.397712,2297,0,-0.44069977
32,-0.7591450621702575,1986,12000000,0,-0.8251847287916987,-0.8109924497338764,1,5.037671,9040,1,0.3287945
33,-1.2257495541950536,1986,1100000,4,0.2396799958600993,-0.3062824526968232,1,8.843551,39456,1,0.305454545
34,-0.8447605652940733,1986,10000000,0,-0.3823020315756905,-0.7203583754369147,1,6.620556,14502,1,1.0603715
35,-0.50229855279881,1986,18000000,12,-1.032053954222684,-0.8835727208753832,1,4.29831,4666,0,-0.783333333
36,-0.2026442918654545,1986,25000000,0,-1.8769343607176807,-0.9046299600337216,1,1.278665,3397,0,-0.9368296
37,-0.8447605652940733,1986,10000000,4,-1.4342503176774484,-0.8683398244629681,1,2.86084,5584,1,1.1458229
38,-0.7591450621702575,1986,12000000,4,-0.6522601859031887,-0.8693520321766471,1,5.655712,5523,0,-0.35075575
39,-1.1872225777893366,1986,2000000,9,0.0541828820018718,-0.8822784224874002,0,8.180575,4744,1,2.6846865
40,-0.50229855279881,1986,18000000,0,0.3754352232824443,-0.9011453105276136,1,9.328747,3607,0,-0.927493667
41,-0.9303760684178892,1986,8000000,0,-1.3530933718021778,-0.8821456739347865,1,3.150899,4752,1,0.47928775
42,-1.1315725007588562,1986,3300000,4,-1.0819544842045734,-0.8961340526664486,1,4.119963,3909,1,0.497308182
43,-0.6307218074845337,1986,15000000,4,-1.0931770461628547,-0.8772173839190052,1,4.079853,5049,0,-0.179431933
44,0.4394719815631641,1986,40000000,4,1.3463451964251698,-0.8220437667389617,1,12.798828,8374,1,0.246289775
45,-0.7163373106083495,1986,13000000,4,-1.707507810090513,-0.8851159227995167,1,1.884204,4573,0,-0.348041077
46,-0.5451063043607178,1986,17000000,1,-1.8405095787187555,-0.8889988179634656,0,1.408849,4339,0,-0.863783353
47,-0.5879140559226258,1986,16000000,6,-1.7231432926971617,-0.9230488217088638,1,1.828322,2287,0,-0.7625
48,-0.4166830496749941,1986,20000000,4,-1.5282341678263531,-0.9099067150001136,1,2.524937,3079,1,0.145275
49,-1.015991571541705,1986,6000000,0,-1.4730231360751247,-0.901908614705142,1,2.722264,3561,1,0.6579385
50,-0.2026442918654545,1986,25000000,1,-1.5472954556839915,-0.9387629316245032,1,2.456811,1340,0,-0.83971
51,-0.6735295590464416,1986,14000000,3,-2.2040990419818094,-0.939625797216492,1,0.109362,1288,1,0.288153571
