,votes_norm,popularity,score,popularity_norm,budget,score_norm,votes,year,budget_norm,isprofit,profitability_ratio
0,-0.4020788324968156,5.526865,6.9,-0.7543329576734847,9000000,0.7217191942675317,36636,1986,-0.9214876699767688,1,1.062734778
1,1.3345564724563768,7.882247,7.8,-0.0941680217286467,6000000,1.7842518513411088,146768,1986,-1.0487424347635963,1,0.425204667
2,0.6737229966275678,16.870392,7.2,2.425023416512758,16000000,1.0758967466253908,104860,1986,-0.6245598854741714,0,-0.63125
3,-0.7869605609980461,4.57535,6.8,-1.021022963381923,6000000,0.6036600101482448,12228,1986,-1.0487424347635963,1,0.366666667
4,0.6235470846277762,11.109932,7.3,0.810485432052997,25000000,1.1939559307446768,101678,1986,-0.2427955911136889,0,-0.556
5,-0.1282716244627543,0.338943,7.2,-2.208400363647045,15000000,1.0758967466253908,54000,1986,-0.6669781404031139,0,-0.4252714
6,-0.587439563344569,6.614078,5.4,-0.4496096047297179,10000000,-1.0491685675217644,24881,1986,-0.8790694150478263,0,-0.2566337
7,-0.1388839402314092,7.409179,6.9,-0.22675921327106,25000000,0.7217191942675317,53327,1986,-0.2427955911136889,1,0.5498954
8,-0.7963113830646321,7.657918,5.9,-0.1570428080331908,2700000,-0.4588726469253322,11635,1986,-1.1887226760291063,1,0.296296296
9,-0.4117923340027464,10.722672,4.6,0.701944450974769,35000000,-1.9936420404760564,36020,1986,0.181386958175736,0,-0.534406457
10,-0.644648302733395,9.501011,5.6,0.3595380999831649,4700000,-0.8130501992831923,21253,1986,-1.1038861661712216,1,0.70763234
11,-0.4601390801345381,7.390012,6.8,-0.2321313275723729,15000000,0.6036600101482448,32954,1986,-0.6669781404031139,1,1.8482678
12,0.0667237645345504,12.596956,7.3,1.2272675521967515,25000000,1.1939559307446768,66366,1986,-0.2427955911136889,1,3.38852528
13,-0.3017743145110598,8.236472,5.9,0.0051139310225672,25000000,-0.4588726469253322,42997,1986,-0.2427955911136889,1,2.19271748
14,-0.7769632234091499,4.482439,7.1,-1.0470639980691077,1900000,0.9578375625061036,12862,1986,-1.2226572799722606,1,1.421052632
15,-0.0745635300971696,6.377624,6.4,-0.5158827781529253,25000000,0.1314232736710997,57406,1986,-0.2427955911136889,1,0.56986936
16,0.0056832380256901,11.613655,7.0,0.9516685870694406,13800000,0.8397783783868178,62495,1986,-0.7178800463178449,1,2.789418986
17,-0.3288806604342659,7.054864,6.3,-0.3260663911637734,10000000,0.0133640895518127,41278,1986,-0.8790694150478263,1,2.7499651
18,-0.6159020149974993,6.224859,6.6,-0.5586996530545815,25000000,0.3675416419096717,23076,1986,-0.2427955911136889,0,-0.42788884
19,-0.7174522580140481,7.522655,6.7,-0.1949542337512722,4500000,0.4856008260289587,16636,1986,-1.11236981715701,0,-0.719777778
20,-0.5299154505302258,7.471655,6.3,-0.2092484806009072,18000000,0.0133640895518127,28529,1986,-0.5397233756162864,1,1.299046722
21,-0.6538572067584982,6.701138,5.7,-0.4252084845193411,19000000,-0.6949910151639053,20669,1986,-0.4973051206873439,1,1.157719211
22,-0.7986924524272873,6.41742,5.6,-0.5047287811406101,18000000,-0.8130501992831923,11484,1986,-0.5397233756162864,0,-0.461236722
23,-0.4036083936105742,11.183924,7.2,0.8312238617176669,14000000,1.0758967466253908,36539,1986,-0.7093963953320563,1,1.757142857
24,-0.4498106004488487,6.759181,7.3,-0.4089402302077067,6000000,1.1939559307446768,33609,1986,-1.0487424347635963,0,-0.025058833
25,-0.7262669452572548,5.460546,6.8,-0.77292080388566,5000000,0.6036600101482448,16077,1986,-1.0911606896925388,0,-0.8817268
26,-0.7967529058603562,10.092348,7.0,0.5252776499698814,6500000,0.8397783783868178,11607,1986,-1.027533307299125,0,-0.638923077
27,-0.895575168746181,10.750748,5.3,0.7098135740051681,15000000,-1.1672277516410514,5340,1986,-0.6669781404031139,0,-0.8697512
28,-0.7303352624464271,7.224683,5.6,-0.2784696322273393,12000000,-0.8130501992831923,15819,1986,-0.7942329051899414,1,0.480741667
29,-0.822645064095321,6.853782,6.2,-0.382425523419034,18000000,-0.1046950945674732,9965,1986,-0.5397233756162864,1,1.033978333
30,-0.943559235438628,4.397712,6.3,-1.0708112265559513,8700000,0.0133640895518127,2297,1986,-0.9342131464554516,0,-0.44069977
31,-0.837231085025493,5.037671,5.6,-0.8914439340138828,12000000,-0.8130501992831923,9040,1986,-0.7942329051899414,1,0.3287945
32,-0.3576111794988858,8.843551,7.8,0.1752656385368714,1100000,1.7842518513411088,39456,1986,-1.2565918839154149,1,0.305454545
33,-0.7511026025167369,6.620556,6.7,-0.4477939551004644,10000000,0.4856008260289587,14502,1986,-0.8790694150478263,1,1.0603715
34,-0.9062032531861116,4.29831,6.1,-1.0986715545039398,18000000,-0.2227542786867603,4666,1986,-0.5397233756162864,0,-0.783333333
35,-0.9262136970351802,1.278665,4.8,-1.9450156923130724,25000000,-1.7575236722374834,3397,1986,-0.2427955911136889,0,-0.9368296
36,-0.8917276129548708,2.86084,6.2,-1.5015647117381492,10000000,-0.1046950945674732,5584,1986,-0.8790694150478263,1,1.1458229
37,-0.8926895019026984,5.655712,5.9,-0.718219804264957,12000000,-0.4588726469253322,5523,1986,-0.7942329051899414,0,-0.35075575
38,-0.9049732968265946,8.180575,5.7,-0.0105528438039825,2000000,-0.6949910151639053,4744,1986,-1.2184154544793664,1,2.6846865
39,-0.7658147728171157,9.970485,6.1,0.4911219675417039,14000000,-0.2227542786867603,13569,1986,-0.7093963953320563,1,3.438158929
