budget,company,director,gross,name,released,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket
10000000,De Laurentiis Entertainment Group (DEG),Stephen King,7433663,Maximum Overdrive,25.07.1986 00:00,5.4,Emilio Estevez,24881,Stephen King,1986,0,-0.2566337,-30
25000000,"Geffen Company, The",Frank Oz,38747385,Little Shop of Horrors,19.12.1986 00:00,6.9,Rick Moranis,53327,Howard Ashman,1986,1,0.5498954,50
2700000,New Century Entertainment Corporation,Mike Marvin,3500000,The Wraith,21.11.1986 00:00,5.9,Charlie Sheen,11635,Mike Marvin,1986,1,0.296296296,30
35000000,Universal Pictures,Willard Huyck,16295774,Howard the Duck,1.08.1986 00:00,4.6,Lea Thompson,36020,Steve Gerber,1986,0,-0.534406457,-50
2000000,New Line Cinema,Stephen Herek,13167232,Critters,11.04.1986 00:00,6,Dee Wallace,25517,Domonic Muir,1986,1,5.583616,560
11000000,Orion Pictures,Alan Metter,91258000,Back to School,13.06.1986 00:00,6.6,Rodney Dangerfield,23120,Rodney Dangerfield,1986,1,7.296181818,730
4700000,Cannon Films,Tobe Hooper,8025872,The Texas Chainsaw Massacre 2,22.08.1986 00:00,5.6,Dennis Hopper,21253,L.M. Kit Carson,1986,1,0.70763234,70
15000000,Jay Weston Productions,Clint Eastwood,42724017,Heartbreak Ridge,5.12.1986 00:00,6.8,Clint Eastwood,32954,James Carabatsos,1986,1,1.8482678,180
25000000,Paramount Pictures,Leonard Nimoy,109713132,Star Trek IV: The Voyage Home,26.11.1986 00:00,7.3,William Shatner,66366,Gene Roddenberry,1986,1,3.38852528,340
25000000,Paramount Pictures,Michael Ritchie,79817937,The Golden Child,12.12.1986 00:00,5.9,Eddie Murphy,42997,Dennis Feldman,1986,1,2.19271748,220
1900000,Hemdale,Tim Hunter,4600000,River's Edge,8.05.1987 00:00,7.1,Crispin Glover,12862,Neal Jimenez,1986,1,1.421052632,140
25000000,L.A. Films,John Landis,39246734,¡Three Amigos!,12.12.1986 00:00,6.4,Steve Martin,57406,Steve Martin,1986,1,0.56986936,60
25000000,Warner Bros.,George P. Cosmatos,49042224,Cobra,23.05.1986 00:00,5.7,Sylvester Stallone,54851,Paula Gosling,1986,1,0.96168896,100
24500000,Warner Bros.,Roland Joffé,17218023,The Mission,31.10.1986 00:00,7.5,Robert De Niro,47497,Robert Bolt,1986,0,-0.297223551,-30
13800000,Touchstone Pictures,Martin Scorsese,52293982,The Color of Money,17.10.1986 00:00,7,Paul Newman,62495,Walter Tevis,1986,1,2.789418986,280
6000000,HBO Films,Robert Harmon,5844868,The Hitcher,21.02.1986 00:00,7.3,Rutger Hauer,36191,Eric Red,1986,0,-0.025855333,0
10000000,Amblin Entertainment,Richard Benjamin,37499651,The Money Pit,26.03.1986 00:00,6.3,Tom Hanks,41278,David Giler,1986,1,2.7499651,270
3000000,Paramount Pictures,Tom McLoughlin,19472057,Jason Lives: Friday the 13th Part VI,1.08.1986 00:00,5.9,Thom Mathews,28310,Tom McLoughlin,1986,1,5.490685667,550
25000000,The Saul Zaentz Company,Peter Weir,14302779,The Mosquito Coast,26.11.1986 00:00,6.6,Harrison Ford,23076,Paul Theroux,1986,0,-0.42788884,-40
4000000,Initial Pictures,Alex Cox,2826523,Sid and Nancy,7.11.1986 00:00,7.1,Gary Oldman,25032,Alex Cox,1986,0,-0.29336925,-30
10000000,De Laurentiis Entertainment Group (DEG),John Guillermin,4711220,King Kong Lives,19.12.1986 00:00,3.8,Brian Kerwin,4401,Ronald Shusett,1986,0,-0.528878,-50
4500000,Empire Pictures,Stuart Gordon,1261000,From Beyond,24.10.1986 00:00,6.7,Jeffrey Combs,16636,H.P. Lovecraft,1986,0,-0.719777778,-70
18000000,TriStar Pictures,Francis Ford Coppola,41382841,Peggy Sue Got Married,10.10.1986 00:00,6.3,Kathleen Turner,28529,Jerry Leichtling,1986,1,1.299046722,130
19000000,Freddie Fields Productions,Brian Gibson,40996665,Poltergeist II: The Other Side,23.05.1986 00:00,5.7,JoBeth Williams,20669,Mark Victor,1986,1,1.157719211,120
1100000,Empire Pictures,John Carl Buechler,5450815,Troll,17.01.1986 00:00,4.3,Michael Moriarty,7569,Ed Naha,1986,1,3.955286364,400
111000,Maljack Productions,John McNaughton,609939,Henry: Portrait of a Serial Killer,7.09.1990 00:00,7,Michael Rooker,25367,Richard Fire,1986,1,4.494945946,450
18000000,ABC Motion Pictures,Harry Winer,9697739,SpaceCamp,6.06.1986 00:00,5.6,Kate Capshaw,11484,Clifford Green,1986,0,-0.461236722,-50
6400000,Orion Pictures,Woody Allen,40084041,Hannah and Her Sisters,14.03.1986 00:00,8,Mia Farrow,56988,Woody Allen,1986,1,5.263131406,530
14000000,Walt Disney Pictures,Ron Clements,38600000,The Great Mouse Detective,2.07.1986 00:00,7.2,Vincent Price,36539,Peter Young,1986,1,1.757142857,180
8500000,De Laurentiis Entertainment Group (DEG),John Irvin,16209459,Raw Deal,6.06.1986 00:00,5.5,Arnold Schwarzenegger,24851,Luciano Vincenzoni,1986,1,0.906995176,90
6000000,Sunbow Productions,Nelson Shin,5849647,The Transformers: The Movie,8.08.1986 00:00,7.3,Orson Welles,33609,Ron Friedman,1986,0,-0.025058833,0
5000000,TriStar Pictures,Fred Dekker,591366,Night of the Creeps,22.08.1986 00:00,6.8,Jason Lively,16077,Fred Dekker,1986,0,-0.8817268,-90
12000000,Cannon Pictures,Tobe Hooper,4884663,Invaders from Mars,6.06.1986 00:00,5.5,Karen Black,5878,Richard Blake,1986,0,-0.59294475,-60
6000000,De Haven Productions,David Anspaugh,28607524,Hoosiers,27.02.1987 00:00,7.6,Gene Hackman,36604,Angelo Pizzo,1986,1,3.767920667,380
6500000,Cinema '85,James Foley,2347000,At Close Range,18.04.1986 00:00,7,Sean Penn,11607,Elliott Lewitt,1986,0,-0.638923077,-60
20000000,Paramount Pictures,Mike Nichols,25314289,Heartburn,25.07.1986 00:00,6.1,Meryl Streep,7570,Nora Ephron,1986,1,0.26571445,30
15000000,Warner Bros.,Michael Chapman,1953732,The Clan of the Cave Bear,17.01.1986 00:00,5.3,Daryl Hannah,5340,Jean M. Auel,1986,0,-0.8697512,-90
12000000,Golan-Globus Productions,Menahem Golan,17768900,The Delta Force,14.02.1986 00:00,5.6,Chuck Norris,15819,James Bruner,1986,1,0.480741667,50
18000000,Paramount Pictures,Ron Howard,36611610,Gung Ho,14.03.1986 00:00,6.2,Michael Keaton,9965,Edwin Blum,1986,1,1.033978333,100
175000,40 Acres & A Mule Filmworks,Spike Lee,7137502,She's Gotta Have It,8.08.1986 00:00,6.6,Tracy Camilla Johns,5257,Spike Lee,1986,1,39.78572571,3979
8700000,Delphi V Productions,Paul Michael Glaser,4865912,Band of the Hand,11.04.1986 00:00,6.3,Stephen Lang,2297,Leo Garen,1986,0,-0.44069977,-40
12000000,Columbia Pictures Corporation,Mark L. Lester,15945534,Armed and Dangerous,15.08.1986 00:00,5.6,John Candy,9040,Brian Grazer,1986,1,0.3287945,30
1100000,Black Snake,Jim Jarmusch,1436000,Down by Law,30.10.1986 00:00,7.8,Tom Waits,39456,Jim Jarmusch,1986,1,0.305454545,30
10000000,Orion Pictures,Robert Mandel,20603715,F/X,7.02.1986 00:00,6.7,Bryan Brown,14502,Robert T. Megginson,1986,1,1.0603715,110
18000000,Gladden Entertainment,Marshall Brickman,3900000,The Manhattan Project,13.06.1986 00:00,6.1,John Lithgow,4666,Marshall Brickman,1986,0,-0.783333333,-80
5000000,Paramount Pictures,Fred Walton,12947763,April Fool's Day,28.03.1986 00:00,6.2,Deborah Foreman,11458,Danilo Bach,1986,1,1.5895526,160
25000000,Brooksfilms,Alan Johnson,1579260,Solarbabies,26.11.1986 00:00,4.8,Richard Jordan,3397,Walon Green,1986,0,-0.9368296,-90
40000000,Carthago Films S.a.r.l.,Roman Polanski,1641825,Piratas,18.07.1986 00:00,6.1,Walter Matthau,6596,John Brownjohn,1986,0,-0.958954375,-100
10000000,Touchstone Pictures,Jeff Kanew,21458229,Tough Guys,3.10.1986 00:00,6.2,Burt Lancaster,5584,James Orr,1986,1,1.1458229,110
12000000,Cinema Group Ventures,Roger Spottiswoode,7790931,The Best of Times,31.01.1986 00:00,5.9,Robin Williams,5523,Ron Shelton,1986,0,-0.35075575,-40
