,budget,score_norm,rating,budget_norm,votes_norm,genre,score,runtime,runtime_norm,votes,year,country,isprofit,profitability_ratio
0,9000000,0.7558389551693294,4,-0.8651608594318073,-0.322749070317697,1,6.9,90,-1.081708827180084,36636,1986,1,1,1.062734778
1,6000000,1.8188588906198544,6,-0.9920170787881254,1.5975260136108755,6,7.8,120,1.0503464786880992,146768,1986,1,1,0.425204667
2,16000000,1.1101789336528378,6,-0.5691630142670652,0.866812976371212,0,7.2,116,0.7660724379056746,104860,1986,0,0,-0.63125
3,6000000,0.6377256290081593,5,-0.9920170787881254,-0.7483299573308141,4,6.8,100,-0.371023725224023,12228,1986,1,1,0.366666667
4,25000000,1.228292259814007,5,-0.188594356198111,0.8113312333985908,0,7.3,99,-0.4420922354196291,101678,1986,1,0,-0.556
5,15000000,1.1101789336528378,6,-0.6114484207191712,-0.0199882328014825,5,7.2,120,1.0503464786880992,54000,1986,1,0,-0.4252714
6,10000000,-1.0158609372482137,6,-0.8228754529797013,-0.527710694655586,0,5.4,98,-0.5131607456152353,24881,1986,1,0,-0.2566337
7,25000000,0.7558389551693294,5,-0.188594356198111,-0.031722743493052,4,6.9,94,-0.7974347863976596,53327,1986,1,1,0.5498954
8,2700000,-0.4252943064423658,5,-1.1315589200800753,-0.7586695781927765,0,5.9,93,-0.8685032965932658,11635,1986,1,1,0.296296296
9,35000000,-1.9607675465375705,4,0.2342597083229492,-0.3334897220056715,0,4.6,110,0.339661376732038,36020,1986,1,0,-0.534406457
10,4700000,-0.7796342849258753,7,-1.046988107175863,-0.5909689484282665,4,5.6,89,-1.1527773373756902,21253,1986,1,1,0.70763234
11,15000000,0.6377256290081593,6,-0.6114484207191712,-0.3869488747253625,0,6.8,130,1.76103158064416,32954,1986,1,1,1.8482678
12,25000000,-0.4252943064423658,5,-0.188594356198111,-0.2118378927410649,0,5.9,94,-0.7974347863976596,42997,1986,1,1,2.19271748
13,1900000,0.9920656074916676,6,-1.1653872452417602,-0.737275455431178,5,7.1,99,-0.4420922354196291,12862,1986,1,1,1.421052632
14,25000000,0.1652723243634818,4,-0.188594356198111,0.0393992016940384,4,6.4,104,-0.0867496844415986,57406,1986,1,1,0.56986936
15,13800000,0.8739522813304985,6,-0.6621909084616985,0.1281316309799181,6,7.0,119,0.9792779684924928,62495,1986,1,1,2.789418986
16,10000000,0.0471589982023116,4,-0.8228754529797013,-0.2418105879547468,4,6.3,91,-1.010640316984478,41278,1986,1,1,2.7499651
17,25000000,0.40149897668582,4,-0.188594356198111,-0.5591828964360954,1,6.6,117,0.8371409481012807,23076,1986,1,0,-0.42788884
18,4500000,0.5196123028469902,6,-1.0554451884662843,-0.6714715277194645,9,6.7,86,-1.3659828679625086,16636,1986,1,0,-0.719777778
19,18000000,0.0471589982023116,5,-0.4845922013628531,-0.4641037184255035,4,6.3,103,-0.1578181946372047,28529,1986,1,1,1.299046722
20,19000000,-0.6615209587647051,5,-0.4423067949107471,-0.6011516441843981,9,5.7,91,-1.010640316984478,20669,1986,1,1,1.157719211
21,18000000,-0.7796342849258753,4,-0.4845922013628531,-0.7613024327461598,1,5.6,107,0.1264558461452197,11484,1986,1,0,-0.461236722
22,14000000,1.1101789336528378,0,-0.6537338271712773,-0.3244403742360957,2,7.2,74,-2.2188049903097817,36539,1986,1,1,1.757142857
23,6000000,1.228292259814007,4,-0.9920170787881254,-0.3755282142454546,2,7.3,84,-1.5081198883537206,33609,1986,1,0,-0.025058833
