,votes,runtime_norm,score,rating,country,runtime,year,votes_norm,genre,score_norm,budget_norm,budget,popularity,popularity_norm,isprofit,profitability_ratio
0,36636,-1.0930931840459537,6.9,3,1,90,1986,-0.3926747394814014,1,0.7461832065070303,-0.916351027438456,9000000,5.526865,-0.7512270589940607,1,1.062734778
1,146768,1.0392409586655489,7.8,5,1,120,1986,1.3633607905976894,6,1.816498134545143,-1.044247265653801,6000000,7.882247,-0.0883031831896157,1,0.425204667
2,104860,0.7549297396373484,7.2,5,0,116,1986,0.695145040456454,0,1.1029548491864012,-0.6179264716026508,16000000,16.870392,2.441416378092734,0,-0.63125
3,12228,-0.3823151364754528,6.8,4,1,100,1986,-0.7818560420834648,4,0.627259325613906,-1.044247265653801,6000000,4.57535,-1.019031606912855,1,0.366666667
4,101678,-0.4533929412325029,7.3,4,1,99,1986,0.6444086054810457,0,1.2218787300795244,-0.2342377569566153,25000000,11.109932,0.8201309689249332,0,-0.556
5,54000,1.0392409586655489,7.2,5,1,120,1986,-0.1158087882202481,5,1.1029548491864012,-0.6605585510077658,15000000,0.338943,-2.2113712562457795,0,-0.4252714
6,24881,-0.524470745989553,5.4,5,1,98,1986,-0.5801061640998567,0,-1.0376750068898253,-0.873718948033341,10000000,6.614078,-0.4452302161104103,0,-0.2566337
7,53327,-0.8087819650177533,6.9,4,1,94,1986,-0.126539655831326,4,0.7461832065070303,-0.2342377569566153,25000000,7.409179,-0.2214484955334551,1,0.5498954
8,11635,-0.8798597697748034,5.9,4,1,93,1986,-0.7913113236486493,0,-0.4430556024242068,-1.184933127690681,2700000,7.657918,-0.1514407337590501,1,0.296296296
9,36020,0.3284629110950479,4.6,3,1,110,1986,-0.4024967520347803,0,-1.989066054034816,0.1920830370945352,35000000,10.722672,0.7111363769037535,0,-0.534406457
10,21253,-1.1641709888030038,5.6,6,1,89,1986,-0.6379539912811204,4,-0.7998272451035787,-1.0996689688804508,4700000,9.501011,0.3672990524106847,1,0.70763234
11,32954,1.7500190062360497,6.8,5,1,130,1986,-0.4513835872436432,0,0.627259325613906,-0.6605585510077658,15000000,7.390012,-0.2268430608003817,1,1.8482678
12,66366,0.9681631539084988,7.3,3,1,119,1986,0.0813649248237176,1,1.2218787300795244,-0.2342377569566153,25000000,12.596956,1.2386548913690332,1,3.38852528
13,42997,-0.8087819650177533,5.9,4,1,94,1986,-0.2912497040073058,0,-0.4430556024242068,-0.2342377569566153,25000000,8.236472,0.0113936854740783,1,2.19271748
14,12862,-0.4533929412325029,7.1,5,1,99,1986,-0.77174702266976,5,0.9840309682932769,-1.2190387912147729,1900000,4.482439,-1.0451814714464498,1,1.421052632
15,57406,-0.0980039174472525,6.4,3,1,104,1986,-0.0615007123163384,4,0.1515638020414117,-0.2342377569566153,25000000,6.377624,-0.5117803562275821,1,0.56986936
16,62495,0.9681631539084988,7.0,5,1,119,1986,0.0196425050280527,6,0.8651070874001535,-0.7117170462939039,13800000,11.613655,0.9619041519975056,1,2.789418986
17,41278,-1.0220153792889035,6.3,3,1,91,1986,-0.3186588591684393,4,0.0326399211482874,-0.873718948033341,10000000,7.054864,-0.3211706947587407,1,2.7499651
18,23076,0.8260075443943985,6.6,3,1,117,1986,-0.6088865742603256,1,0.3894115638276583,-0.2342377569566153,25000000,6.224859,-0.5547761700222302,0,-0.42788884
19,16636,-1.377404403074154,6.7,5,1,86,1986,-0.7115712509547408,9,0.5083354447207826,-1.1081953847614738,4500000,7.522655,-0.1895105976762135,0,-0.719777778
20,28529,-0.1690817222043026,6.3,4,1,103,1986,-0.5219394404071196,4,0.0326399211482874,-0.5326623127924207,18000000,7.471655,-0.203864582578037,1,1.299046722
21,20669,-1.0220153792889035,5.7,4,1,91,1986,-0.647265769416142,9,-0.6809033642104544,-0.4900302333873056,19000000,6.701138,-0.4207271195309446,1,1.157719211
22,11484,0.1152294968238977,5.6,3,1,107,1986,-0.7937189923102731,1,-0.7998272451035787,-0.5326623127924207,18000000,6.41742,-0.5005797447932102,0,-0.461236722
23,36539,-2.230338060158755,7.2,0,1,74,1986,-0.3942213875620471,2,1.1029548491864012,-0.7031906304128809,14000000,11.183924,0.8409560679613196,1,1.757142857
24,33609,-1.5195600125882542,7.3,3,1,84,1986,-0.4409397264928913,2,1.2218787300795244,-1.044247265653801,6000000,6.759181,-0.4043908774592479,0,-0.025058833
25,16077,-1.2352487935600538,6.8,5,1,88,1986,-0.7204844084504207,4,0.627259325613906,-1.0868793450589165,5000000,5.460546,-0.7698925869294339,0,-0.8817268
26,11607,0.399540715852098,7.0,5,1,111,1986,-0.791757778764712,5,0.8651070874001535,-1.0229312259512435,6500000,10.092348,0.5337312557418525,0,-0.638923077
27,5340,-0.524470745989553,5.3,5,1,98,1986,-0.891684000634883,1,-1.1565988877829496,-0.6605585510077658,15000000,10.750748,0.7190383863175497,0,-0.8697512
28,15819,1.3946299824507993,5.6,5,1,125,1986,-0.7245981734484268,0,-0.7998272451035787,-0.788454789223111,12000000,7.224683,-0.2733750209931966,1,0.480741667
29,9965,0.4706185206091481,6.2,4,1,112,1986,-0.8179391823566732,4,-0.0862839597448358,-0.5326623127924207,18000000,6.853782,-0.3777653612691028,1,1.033978333
30,2297,0.2573851063379979,6.3,5,1,109,1986,-0.9402041048555516,0,0.0326399211482874,-0.9291406512599908,8700000,4.397712,-1.0690279435793282,0,-0.44069977
31,9040,-1.2352487935600538,5.6,4,1,88,1986,-0.8326881460123151,0,-0.7998272451035787,-0.788454789223111,12000000,5.037671,-0.8889110450737199,1,0.3287945
32,39456,0.1152294968238977,7.8,5,1,107,1986,-0.3477103313636606,4,1.816498134545143,-1.253144454738865,1100000,8.843551,0.182256485478276,1,0.305454545
33,14502,0.2573851063379979,6.7,5,1,109,1986,-0.7455975087289461,0,0.5083354447207826,-0.873718948033341,10000000,6.620556,-0.4434069785771945,1,1.0603715
34,4666,0.8260075443943985,6.1,4,1,117,1986,-0.9024308130715344,12,-0.2052078406379602,-0.5326623127924207,18000000,4.29831,-1.097004704505035,0,-0.783333333
35,3397,-0.8087819650177533,4.8,4,1,94,1986,-0.9226647967245178,0,-1.7512182922485682,-0.2342377569566153,25000000,1.278665,-1.9468858562475184,0,-0.9368296
36,5584,-0.0980039174472525,6.2,3,1,104,1986,-0.8877934631949082,4,-0.0862839597448358,-0.873718948033341,10000000,2.86084,-1.501581619736881,1,1.1458229
37,5523,-0.0980039174472525,5.9,4,1,104,1986,-0.8887660975549019,4,-0.4430556024242068,-0.788454789223111,12000000,5.655712,-0.7149629826676832,0,-0.35075575
38,4744,-0.524470745989553,5.7,5,0,98,1986,-0.9011871166767884,9,-0.6809033642104544,-1.2147755832742615,2000000,8.180575,-0.0043385634290044,1,2.6846865
39,13569,-0.1690817222043026,6.1,5,1,103,1986,-0.7604740309891774,4,-0.2052078406379602,-0.7031906304128809,14000000,9.970485,0.4994328309949721,1,3.438158929
40,3607,0.6838519348802984,5.7,5,1,115,1986,-0.9193163833540478,0,-0.6809033642104544,-0.5326623127924207,18000000,9.328747,0.3188152317219059,0,-0.927493667
41,4752,-0.0980039174472525,5.0,3,1,104,1986,-0.9010595580721992,0,-1.5133705304623206,-0.9589831068435712,8000000,3.150899,-1.4199443156851554,1,0.47928775
42,3909,-0.8798597697748034,5.9,5,1,93,1986,-0.9145010460308004,4,-0.4430556024242068,-1.159353880047612,3300000,4.119963,-1.1472005897067117,1,0.497308182
43,5049,-0.6666263555036532,4.9,4,1,96,1986,-0.89632394487682,4,-1.6322944113554438,-0.6605585510077658,15000000,4.079853,-1.1584895766559693,0,-0.179431933
44,8374,0.7549297396373484,5.9,3,1,116,1986,-0.8433073998443773,4,-0.4430556024242068,0.4052434341201104,40000000,12.798828,1.295471903920031,1,0.246289775
