budget,gross,name,released,runtime,score,votes,year,isprofit,profitability_ratio,profitability_ratio_bucket
40000000,1641825,Piratas,18.07.1986 00:00,121,6.1,6596,1986,0,-0.958954375,-100
10000000,21458229,Tough Guys,3.10.1986 00:00,104,6.2,5584,1986,1,1.1458229,110
12000000,7790931,The Best of Times,31.01.1986 00:00,104,5.9,5523,1986,0,-0.35075575,-40
2000000,7369373,Witchboard,13.03.1987 00:00,98,5.7,4744,1986,1,2.6846865,270
14000000,62134225,Down and Out in Beverly Hills,31.01.1986 00:00,103,6.1,13569,1986,1,3.438158929,340
8500000,277646,Lady Jane,7.02.1986 00:00,136,7.2,5364,1986,0,-0.967335765,-100
18000000,1305114,8 Million Ways to Die,25.04.1986 00:00,115,5.7,3607,1986,0,-0.927493667,-90
8000000,11834302,Firewalker,21.11.1986 00:00,104,5,4752,1986,1,0.47928775,50
3300000,4941117,Vamp,18.07.1986 00:00,93,5.9,3909,1986,1,0.497308182,50
15000000,12308521,Club Paradise,11.07.1986 00:00,96,4.9,5049,1986,0,-0.179431933,-20
40000000,49851591,Legal Eagles,20.06.1986 00:00,116,5.9,8374,1986,1,0.246289775,20
13000000,8475466,Wise Guys,18.04.1986 00:00,100,5.6,4573,1986,0,-0.348041077,-30
17000000,2315683,Shanghai Surprise,29.08.1986 00:00,97,3.1,4339,1986,0,-0.863783353,-90
16000000,3800000,Power,31.01.1986 00:00,111,5.7,2287,1986,0,-0.7625,-80
20000000,22905500,Crimes of the Heart,23.01.1987 00:00,105,6.4,3079,1986,1,0.145275,10
6000000,9947631,Murphy's Law,18.04.1986 00:00,100,5.9,3561,1986,1,0.6579385,70
4000000,4679650,Avenging Force,12.09.1986 00:00,104,5.9,1808,1986,1,0.1699125,20
18000000,11957943,Brighton Beach Memoirs,25.12.1986 00:00,108,6.9,2720,1986,0,-0.335669833,-30
25000000,4007250,Tai-Pan,7.11.1986 00:00,127,5.5,1340,1986,0,-0.83971,-80
17000000,2793214,Heat,13.03.1987 00:00,101,5.5,1358,1986,0,-0.835693294,-80
14000000,18034150,"Jo Jo Dancer, Your Life Is Calling",2.05.1986 00:00,97,6.3,1288,1986,1,0.288153571,30
3401376,3388020,Born American,29.08.1986 00:00,97,4.3,1509,1986,0,-0.003926646,0
10000000,6947787,Blue City,2.05.1986 00:00,83,4.4,792,1986,0,-0.3052213,-30
2000000,1301121,Native Son,12.12.1986 00:00,111,5.9,448,1986,0,-0.3494395,-30
18000000,2295500,Sky Bandits,31.10.1986 00:00,100,4.6,183,1986,0,-0.872472222,-90
1500000,1368912,Armed Response,3.10.1986 00:00,86,4.9,489,1986,0,-0.087392,-10
16000000,30857814,The Princess Bride,9.10.1987 00:00,98,8.1,320953,1987,1,0.928613375,90
1000000,14564027,Hellraiser,18.09.1987 00:00,94,7,83209,1987,1,13.564027,1360
30000000,46357676,Full Metal Jacket,10.07.1987 00:00,116,8.3,537826,1987,1,0.545255867,50
6000000,63952836,Dirty Dancing,21.08.1987 00:00,100,6.9,155978,1987,1,9.658806,969
15000000,59735548,Predator,12.06.1987 00:00,107,7.8,313213,1987,1,2.982369867,300
27000000,38122105,The Running Man,13.11.1987 00:00,101,6.6,120345,1987,1,0.411929815,40
22700000,38119483,Spaceballs,24.06.1987 00:00,96,7.1,146748,1987,1,0.679272379,70
13000000,53424681,RoboCop,17.07.1987 00:00,102,7.5,196245,1987,1,3.109590846,310
15000000,65207127,Lethal Weapon,6.03.1987 00:00,110,7.6,204328,1987,1,3.3471418,330
25000000,76270454,The Untouchables,3.06.1987 00:00,119,7.9,234254,1987,1,2.05081816,210
3600000,5923044,Evil Dead II,13.03.1987 00:00,84,7.8,123325,1987,1,0.64529,60
22000000,17336370,Masters of the Universe,7.08.1987 00:00,106,5.4,30370,1987,0,-0.211983182,-20
12000000,3769990,The Monster Squad,14.08.1987 00:00,82,7.2,21420,1987,0,-0.685834167,-70
14000000,156645693,Fatal Attraction,18.09.1987 00:00,119,6.9,60383,1987,1,10.18897807,1019
30000000,51185897,The Living Daylights,31.07.1987 00:00,130,6.7,74272,1987,1,0.706196567,70
15000000,43848100,Wall Street,11.12.1987 00:00,126,7.4,126195,1987,1,1.923206667,190
35000000,22238696,Empire of the Sun,25.12.1987 00:00,153,7.8,96566,1987,0,-0.364608686,-40
22000000,63766510,The Witches of Eastwick,12.06.1987 00:00,118,6.5,51642,1987,1,1.898477727,190
4500000,44793222,A Nightmare on Elm Street 3: Dream Warriors,27.02.1987 00:00,96,6.6,55414,1987,1,8.954049333,900
23000000,20763013,Jaws: The Revenge,17.07.1987 00:00,89,2.9,33419,1987,0,-0.097260304,-10
25000000,16057580,Over the Top,13.02.1987 00:00,93,5.7,40916,1987,0,-0.3576968,-40
30000000,49530280,"Planes, Trains & Automobiles",25.11.1987 00:00,93,7.6,98897,1987,1,0.651009333,70
6000000,22847564,Raising Arizona,17.04.1987 00:00,94,7.4,107669,1987,1,2.807927333,280
17000000,17185632,Angel Heart,6.03.1987 00:00,113,7.3,67453,1987,1,0.010919529,0
6000000,42721196,Mannequin,13.02.1987 00:00,90,5.8,24626,1987,1,6.120199333,610
27000000,25893810,Innerspace,1.07.1987 00:00,120,6.8,45172,1987,0,-0.04097,0
