,runtime,score,popularity,budget_norm,votes,score_norm,popularity_norm,budget,votes_norm,runtime_norm,isprofit,profitability_ratio
0,90,6.9,5.526865,-0.8378934914483813,36636,0.7726129565430073,-0.5979202507776077,9000000,-0.2793088521447365,-1.076406808391739,1,1.062734778
1,120,7.8,7.882247,-0.9693362093553498,146768,1.843795678671744,0.0476191864440472,6000000,1.7011083785306376,1.0527094527455194,1,0.425204667
2,116,7.2,16.870392,-0.5311938163321215,104860,1.129673863919253,2.5109996763037103,16000000,0.9475097395960538,0.7688272845938849,0,-0.63125
3,100,6.8,4.57535,-0.9693362093553498,12228,0.653592654084258,-0.8587019233929044,6000000,-0.7182187399732017,-0.3667013880126528,1,0.366666667
4,99,7.3,11.109932,-0.136865662611216,101678,1.2486941663780011,0.9322306670568644,25000000,0.890290333537787,-0.4376719300505615,0,-0.556
5,120,7.2,0.338943,-0.5750080556344443,54000,1.129673863919253,-2.0197737964996363,15000000,0.0329343178099287,1.0527094527455194,0,-0.4252714
6,98,5.4,6.614078,-0.7940792521460586,24881,-1.012691580338222,-0.2999478334966454,10000000,-0.4906897818163036,-0.5086424720884701,0,-0.2566337
7,94,6.9,7.409179,-0.136865662611216,53327,0.7726129565430073,-0.0820345387213711,25000000,0.0208322875531048,-0.7925246402401046,1,0.5498954
8,93,5.9,7.657918,-1.1139231990530152,11635,-0.4175900680444788,-0.0138626523457951,2700000,-0.728882193082112,-0.8634951822780131,1,0.296296296
9,110,4.6,10.722672,0.3012767304120123,36020,-1.964854000008212,0.8260943365344867,35000000,-0.2903858961836719,0.3430040323664333,0,-0.534406457
10,89,5.6,9.501011,-1.0262947204483694,21253,-0.7746509754207256,0.4912737620307995,4700000,-0.5559292554741893,-1.1473773504296476,1,0.70763234
11,130,6.8,7.390012,-0.5750080556344443,32954,0.653592654084258,-0.0872876375364371,15000000,-0.3455193653774639,1.7624148731246057,1,1.8482678
12,119,7.3,12.596956,-0.136865662611216,66366,1.2486941663780011,1.3397792668572766,25000000,0.2553023804486865,0.9817389107076108,1,3.38852528
13,94,5.9,8.236472,-0.136865662611216,42997,-0.4175900680444788,0.1447016160244043,25000000,-0.1649239866712497,-0.7925246402401046,1,2.19271748
14,99,7.1,4.482439,-1.1489745904948734,12862,1.0106535614605037,-0.8841660369217084,1900000,-0.7068180160759858,-0.4376719300505615,1,1.421052632
15,104,6.4,6.377624,-0.136865662611216,57406,0.1775114442492642,-0.3647527704830066,25000000,0.0941817398823538,-0.0828192198610184,1,0.56986936
16,119,7.0,11.613655,-0.6275851427972318,62495,0.8916332590017555,1.070286006672945,13800000,0.185693228704013,0.9817389107076108,1,2.789418986
17,91,6.3,7.054864,-0.7940792521460586,41278,0.0584911417905149,-0.1791416345976199,10000000,-0.195835413137045,-1.0054362663538303,1,2.7499651
18,117,6.6,6.224859,-0.136865662611216,23076,0.4155520491667606,-0.4066210670595984,25000000,-0.5231476787161061,0.8397978266317936,0,-0.42788884
19,86,6.7,7.522655,-1.035057568308834,16636,0.5345723516255099,-0.0509341765813171,4500000,-0.6389531391231578,-1.3602889765433734,0,-0.719777778
20,103,6.3,7.471655,-0.4435653377274758,28529,0.0584911417905149,-0.064911744253272,18000000,-0.4250906638714395,-0.153789761898927,1,1.299046722
21,91,5.7,6.701138,-0.399751098425153,20669,-0.6556306729619763,-0.2760873032707553,19000000,-0.5664308686539591,-1.0054362663538303,1,1.157719211
22,107,5.6,6.41742,-0.4435653377274758,11484,-0.7746509754207256,-0.3538458825796122,18000000,-0.731597507448799,0.1300924062527074,0,-0.461236722
23,74,7.2,11.183924,-0.6188222949367672,36539,1.129673863919253,0.9525096511192814,14000000,-0.2810531269365819,-2.2119354809982767,1,1.757142857
24,84,7.3,6.759181,-0.9693362093553498,33609,1.2486941663780011,-0.2601794609102991,6000000,-0.3337410149789206,-1.5022300606191907,0,-0.025058833
25,88,6.8,5.460546,-1.0131504486576728,16077,0.653592654084258,-0.6160962960802817,5000000,-0.6490051969442047,-1.218347892467556,0,-0.8817268
26,111,7.0,10.092348,-0.9474290897041884,11607,0.8916332590017555,0.6533414666274813,6500000,-0.7293856950838817,0.4139745744043419,0,-0.638923077
27,108,6.1,16.071191,-0.3559368591228302,7570,-0.1795494631269824,2.291962694715593,20000000,-0.801979894410476,0.201062948290616,1,0.26571445
28,98,5.3,10.750748,-0.5750080556344443,5340,-1.1317118827969712,0.8337891245728752,15000000,-0.84208023240857,-0.5086424720884701,0,-0.8697512
29,125,5.6,7.224683,-0.7064507735414128,15819,-0.7746509754207256,-0.1325993490195082,12000000,-0.6536446082462263,1.4075621629350623,1,0.480741667
30,112,6.2,6.853782,-0.4435653377274758,9965,-0.0605291606682332,-0.2342521691586402,18000000,-0.7589124910448102,0.4849451164422505,1,1.033978333
31,109,6.3,4.397712,-0.8510377632390782,2297,0.0584911417905149,-0.9073871619440952,8700000,-0.8968001106723368,0.2720334903285247,0,-0.44069977
32,88,5.6,5.037671,-0.7064507735414128,9040,-0.7746509754207256,-0.7319936280269076,12000000,-0.775546039317562,-1.218347892467556,1,0.3287945
33,107,7.8,8.843551,-1.1840259819367318,39456,1.843795678671744,0.3110837298424964,1100000,-0.2285990076807791,0.1300924062527074,1,0.305454545
34,109,6.7,6.620556,-0.7940792521460586,14502,0.5345723516255099,-0.298172408332353,10000000,-0.6773271845437553,0.2720334903285247,1,1.0603715
35,117,6.1,4.29831,-0.4435653377274758,4666,-0.1795494631269824,-0.9346302635465984,18000000,-0.8542002448797428,0.8397978266317936,0,-0.783333333
36,94,4.8,1.278665,-0.136865662611216,3397,-1.7268133950907143,-1.7622242308560132,25000000,-0.8770196748885236,-0.7925246402401046,0,-0.9368296
37,104,6.2,2.86084,-0.7940792521460586,5584,-0.0605291606682332,-1.3285976008290483,10000000,-0.8376925721074333,-0.0828192198610184,1,1.1458229
38,104,5.9,5.655712,-0.7064507735414128,5523,-0.4175900680444788,-0.5626071593692082,12000000,-0.8387894871827175,-0.0828192198610184,0,-0.35075575
