,budget,gross,name,released,runtime,score,votes,year,isprofit,profitability_ratio,profitability_ratio_bucket,id,imdb_id,original_title,popularity,title,year_released,budget_norm,runtime_norm,score_norm,votes_norm,popularity_norm
20,18000000,41382841,Peggy Sue Got Married,10.10.1986 00:00,103,6.3,28529,1986,1,1.299046722,130,10013,tt0091738,Peggy Sue Got Married,7.471655,Peggy Sue Got Married,1986,-0.4435653377274758,-0.153789761898927,0.058491141790514976,-0.42509066387143957,-0.06491174425327206
21,19000000,40996665,Poltergeist II: The Other Side,23.05.1986 00:00,91,5.7,20669,1986,1,1.157719211,120,11133,tt0091778,Poltergeist II: The Other Side,6.701138,Poltergeist II: The Other Side,1986,-0.399751098425153,-1.0054362663538303,-0.6556306729619763,-0.5664308686539591,-0.27608730327075537
22,18000000,9697739,SpaceCamp,6.06.1986 00:00,107,5.6,11484,1986,0,-0.461236722,-50,13766,tt0091993,SpaceCamp,6.41742,SpaceCamp,1986,-0.4435653377274758,0.13009240625270743,-0.7746509754207256,-0.731597507448799,-0.3538458825796122
23,14000000,38600000,The Great Mouse Detective,2.07.1986 00:00,74,7.2,36539,1986,1,1.757142857,180,9994,tt0091149,The Great Mouse Detective,11.183924,The Great Mouse Detective,1986,-0.6188222949367672,-2.2119354809982767,1.129673863919253,-0.2810531269365819,0.9525096511192814
24,6000000,5849647,The Transformers: The Movie,8.08.1986 00:00,84,7.3,33609,1986,0,-0.025058833,0,1857,tt0092106,The Transformers: The Movie,6.759181,The Transformers: The Movie,1986,-0.9693362093553498,-1.5022300606191907,1.2486941663780011,-0.3337410149789206,-0.2601794609102991
25,5000000,591366,Night of the Creeps,22.08.1986 00:00,88,6.8,16077,1986,0,-0.8817268,-90,15762,tt0091630,Night of the Creeps,5.460546,Night of the Creeps,1986,-1.0131504486576728,-1.2183478924675561,0.653592654084258,-0.6490051969442047,-0.6160962960802817
26,6500000,2347000,At Close Range,18.04.1986 00:00,111,7.0,11607,1986,0,-0.638923077,-60,13715,tt0090670,At Close Range,10.092348,At Close Range,1986,-0.9474290897041885,0.41397457440434193,0.8916332590017555,-0.7293856950838817,0.6533414666274813
27,20000000,25314289,Heartburn,25.07.1986 00:00,108,6.1,7570,1986,1,0.26571445,30,13818,tt0091188,Heartburn,16.071191,Heartburn,1986,-0.3559368591228302,0.20106294829061605,-0.17954946312698247,-0.801979894410476,2.291962694715593
28,15000000,1953732,The Clan of the Cave Bear,17.01.1986 00:00,98,5.3,5340,1986,0,-0.8697512,-90,13853,tt0090848,The Clan of the Cave Bear,10.750748,The Clan of the Cave Bear,1986,-0.5750080556344443,-0.5086424720884701,-1.1317118827969712,-0.84208023240857,0.8337891245728752
29,12000000,17768900,The Delta Force,14.02.1986 00:00,125,5.6,15819,1986,1,0.480741667,50,16113,tt0090927,The Delta Force,7.224683,The Delta Force,1986,-0.7064507735414128,1.4075621629350625,-0.7746509754207256,-0.6536446082462263,-0.13259934901950823
30,18000000,36611610,Gung Ho,14.03.1986 00:00,112,6.2,9965,1986,1,1.033978333,100,13698,tt0091159,Gung Ho,6.853782,Gung Ho,1986,-0.4435653377274758,0.4849451164422505,-0.06052916066823322,-0.7589124910448102,-0.23425216915864022
31,8700000,4865912,Band of the Hand,11.04.1986 00:00,109,6.3,2297,1986,0,-0.44069977,-40,33762,tt0090693,Band of the Hand,4.397712,Band of the Hand,1986,-0.8510377632390782,0.2720334903285247,0.058491141790514976,-0.8968001106723368,-0.9073871619440951
32,12000000,15945534,Armed and Dangerous,15.08.1986 00:00,88,5.6,9040,1986,1,0.3287945,30,2620,tt0090660,Armed and Dangerous,5.037671,Armed and Dangerous,1986,-0.7064507735414128,-1.2183478924675561,-0.7746509754207256,-0.775546039317562,-0.7319936280269076
33,1100000,1436000,Down by Law,30.10.1986 00:00,107,7.8,39456,1986,1,0.305454545,30,1554,tt0090967,Down by Law,8.843551,Down by Law,1986,-1.1840259819367318,0.13009240625270743,1.8437956786717442,-0.22859900768077918,0.31108372984249644
34,10000000,20603715,F/X,7.02.1986 00:00,109,6.7,14502,1986,1,1.0603715,110,9873,tt0089118,F/X,6.620556,F/X,1986,-0.7940792521460586,0.2720334903285247,0.5345723516255099,-0.6773271845437553,-0.298172408332353
