,votes,runtime_norm,country,rating,score_norm,budget_norm,popularity,runtime,popularity_norm,votes_norm,genre,year,budget,score,isprofit,profitability_ratio
0,346409,2.111208780038884,0,5,1.7241333347823344,0.118910159674604,10.586815,135,0.3778635369661008,3.2618216362482344,4,2003,40000000,7.7,1,0.4924036
1,361466,2.329763022055757,1,5,2.107577467834605,-0.4195424521648901,12.602438,138,0.9717505041909223,3.4538194759453043,5,2003,25000000,8.0,1,2.60540764
2,72230,-0.4385907101579708,1,5,0.5738009356255227,-1.2631182107134309,14.379879,100,1.4954590771289449,-0.2343446445715118,6,2003,1500000,6.8,1,2.066453333
3,93636,-1.6042133342479616,1,5,-0.3209020414964419,-0.8646632779522052,14.079718,84,1.4070190732347787,0.0386118378987994,9,2003,12600000,6.1,1,0.223632619
4,63052,0.7998833279376444,1,3,0.9572450686777928,-0.5990266561113882,17.193267,117,2.3244010305332794,-0.3513769998042744,1,2003,20000000,7.1,1,2.37032865
5,369336,1.38269463998264,1,4,2.107577467834605,1.1958153833535925,14.739983,125,1.601560799745489,3.5541729991183093,1,2003,70000000,8.0,0,-0.0534714
6,185444,-0.2200364681410975,1,4,-1.3434197296358297,1.4829901096679892,11.415558,103,0.6220459395675799,1.2092924294448306,0,2003,78000000,5.3,0,-0.994463064
7,224330,0.1442206018870245,1,4,0.9572450686777928,-0.060574044271894,17.95142,108,2.547784662225516,1.7051433954048665,4,2003,35000000,7.1,1,1.321747914
8,192146,-1.1671048502142152,1,5,1.21287449071264,-0.240058248218392,17.955897,90,2.5491037739603324,1.2947523166501014,10,2003,30000000,7.3,1,0.7386512
9,95076,-0.6571449521748441,1,5,-0.7043461745487122,-0.240058248218392,14.015739,97,1.3881681798504124,0.0569738548453214,0,2003,30000000,5.8,1,1.7540885
10,193885,-1.3128076782254638,1,5,1.085059779695217,-0.4554392929541897,16.195894,88,2.03053316627398,1.316927002393158,4,2003,24000000,7.2,1,2.149378875
11,211309,0.0713691878814001,1,4,-0.576531463531288,1.41119642808939,2.32462,107,-2.05652520099238,1.539107407446073,0,2003,76000000,5.9,1,0.673090803
12,148712,0.2899234298982734,1,4,-0.7043461745487122,1.4829901096679892,10.488765,110,0.3489738997986379,0.7409079805006338,0,2003,78000000,5.8,0,-0.147882
13,64612,-1.2399562642198394,1,5,-0.448716752513865,-1.0656855863722832,11.00913,89,0.5022952261081434,-0.3314848147788757,9,2003,7000000,6.0,1,0.804994571
